bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
2158;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2160;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2161;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2162;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2163;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2164;1;0;0;0;30.24753618;5;1;0;110;1;1.1;0.9
2165;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2166;1;0;0;0;29.89423277;5;1;0;110;1;1.1;0.9
2167;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2168;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2169;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2170;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2171;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2172;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2173;1;0;0;0;27.57694896;5;1;0;110;1;1.1;0.9
2174;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2175;1;109.5607388;5.564466014;0;0;5;1;0;110;1;1.1;0.9
2176;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2177;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2178;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2180;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2183;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2186;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2189;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2190;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2192;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2193;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2194;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2195;1;0;0;0;39.44290575;5;1;0;110;1;1.1;0.9
2198;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2199;1;4.148403437;1.226811963;0;0;5;1;0;33;1;1.1;0.9
2200;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2201;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2202;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2203;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2204;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2205;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2206;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2207;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2208;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2209;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2210;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2212;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2214;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2215;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2217;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2219;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2220;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2221;1;25.53318171;4.242972174;0;0;5;1;0;22;1;1.1;0.9
2222;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2223;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2224;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2225;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2226;1;0.844463851;0.81148686;0;0;5;1;0;110;1;1.1;0.9
2227;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2228;1;1.245749268;-0.664264287;0;0;5;1;0;110;1;1.1;0.9
2229;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2231;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2232;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2233;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2234;1;6.309170103;0.352394917;0;0;5;1;0;33;1;1.1;0.9
2235;1;6.3943493;0.321420691;0;0;5;1;0;33;1;1.1;0.9
2237;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2238;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2239;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2240;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2241;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2242;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2243;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2244;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2247;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2249;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2250;2;761.8020958;94.39828227;0;269.6068504;5;1;0;220;1;1.1;0.9
2255;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2259;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2261;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2262;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2263;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2268;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2269;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2270;1;0;0;0;0;5;1;0;220;1;1.1;0.9
2272;1;0.100036499;-0.133309903;0;0;5;1;0;11;1;1.1;0.9
2273;1;19.95778869;4.785949597;0;0;5;1;0;22;1;1.1;0.9
2274;1;14.1049077;9.047769966;0;0;5;1;0;6.6;1;1.1;0.9
2275;1;11.18685029;5.373480152;0;0;5;1;0;6.6;1;1.1;0.9
2276;1;1.233107867;0.52193497;0;0;5;1;0;6.6;1;1.1;0.9
2277;1;38.26564464;12.0837699;0;0;5;1;0;33;1;1.1;0.9
2278;1;15.34797101;0.179780361;0;0;5;1;0;33;1;1.1;0.9
2279;1;28.12203963;17.09411876;0;0;5;1;0;44;1;1.1;0.9
2280;1;2.292668699;-0.219341769;0;0;5;1;0;22;1;1.1;0.9
2281;1;-5.281033139;1.573655855;0;0;5;1;0;11;1;1.1;0.9
2282;1;0.595466477;0.164574362;0;0;5;1;0;22;1;1.1;0.9
2283;1;2.865650431;0.918062184;0;0;5;1;0;22;1;1.1;0.9
2284;1;0.102155048;-0.076241827;0;0;5;1;0;11;1;1.1;0.9
2285;1;14.89396852;5.504403367;0;0;5;1;0;22;1;1.1;0.9
2286;1;12.79405632;4.231528027;0;0;5;1;0;22;1;1.1;0.9
2287;1;32.81643477;4.938348439;0;0;5;1;0;22;1;1.1;0.9
2288;1;4.969286691;2.312303596;0;0;5;1;0;11;1;1.1;0.9
2289;1;11.88898872;2.243005788;0;0;5;1;0;22;1;1.1;0.9
2290;1;35.35571077;11.43917337;0;0;5;1;0;22;1;1.1;0.9
2291;1;37.0487818;13.56316756;0;0;5;1;0;22;1;1.1;0.9
2292;1;9.25709532;1.285278496;0;0;5;1;0;22;1;1.1;0.9
2293;1;6.819687543;1.66570804;0;0;5;1;0;22;1;1.1;0.9
2294;1;0;0;0;0;5;1;0;22;1;1.1;0.9
2295;1;1.127720441;-0.13110491;0;0;5;1;0;22;1;1.1;0.9
2296;1;3.917957783;1.129458142;0;0;5;1;0;22;1;1.1;0.9
2297;1;0.098455395;-0.159011452;0;0;5;1;0;22;1;1.1;0.9
2298;1;7.005330226;0.634266091;0;0;5;1;0;11;1;1.1;0.9
2299;1;4.767843117;-0.357622154;0;0;5;1;0;11;1;1.1;0.9
2300;1;6.817376399;1.52931806;0;0;5;1;0;11;1;1.1;0.9
2301;1;6.357613795;1.104834498;0;0;5;1;0;11;1;1.1;0.9
2302;1;10.5558431;3.513568736;0;0;5;1;0;11;1;1.1;0.9
2303;1;7.95474462;1.733412087;0;0;5;1;0;11;1;1.1;0.9
2304;1;2.914585064;-0.202324895;0;0;5;1;0;11;1;1.1;0.9
2305;1;3.200820825;-0.030637232;0;0;5;1;0;11;1;1.1;0.9
2306;1;1.230696396;0.148527248;0;0;5;1;0;22;1;1.1;0.9
2307;1;1.220127358;0.141469365;0;0;5;1;0;22;1;1.1;0.9
2308;1;2.697412749;-0.518176212;0;0;5;1;0;11;1;1.1;0.9
2309;1;3.662489528;0.268230288;0;0;5;1;0;11;1;1.1;0.9
2310;1;4.387827977;1.244169954;0;0;5;1;0;11;1;1.1;0.9
2311;1;11.31460263;3.438659197;0;0;5;1;0;11;1;1.1;0.9
2312;1;3.437387245;1.206434238;0;0;5;1;0;11;1;1.1;0.9
2313;1;12.75081508;0.933697499;0;0;5;1;0;22;1;1.1;0.9
2314;1;10.67503746;2.72001893;0;0;5;1;0;22;1;1.1;0.9
2315;1;29.58494143;5.385695343;0;0;5;1;0;22;1;1.1;0.9
2316;1;5.992160853;2.305225436;0;0;5;1;0;22;1;1.1;0.9
2317;1;9.067095901;2.285212561;0;0;5;1;0;22;1;1.1;0.9
2318;1;10.36757488;-0.048589879;0;0;5;1;0;22;1;1.1;0.9
2319;1;0;0;0;0;5;1;0;22;1;1.1;0.9
2320;1;16.14076563;3.398174226;0;0;5;1;0;22;1;1.1;0.9
2321;1;5.512170804;-0.297153098;0;0;5;1;0;22;1;1.1;0.9
2322;1;0.2685425;0.319257628;0;0;5;1;0;11;1;1.1;0.9
2323;1;0;0;0;0;5;1;0;110;1;1.1;0.9
2324;1;0;0;0;0;5;1;0;1;1;1.1;0.9
2325;1;0;0;0;0;5;1;0;1;1;1.1;0.9
2326;1;0;0;0;0;5;1;0;1;1;1.1;0.9
2328;1;0;0;0;0;5;1;0;22;1;1.1;0.9
2329;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2330;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2331;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2332;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2333;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2334;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2335;2;0;0;0;0;5;1;0;11;1;1.1;0.9
2336;1;32.70330817;10.65448663;0;0;5;1;0;33;1;1.1;0.9
2337;1;49.53378237;16.24792228;0;0;5;1;0;11;1;1.1;0.9
2338;1;1.71129515;2.649456333;0;0;5;1;0;22;1;1.1;0.9
2339;1;15.71699292;-4.317637896;0;0;5;1;0;6.6;1;1.1;0.9
10108;1;0;0;0;0;5;1;0;110;1;1.1;0.9
10109;1;0;0;0;0;5;1;0;110;1;1.1;0.9
10110;1;0;0;0;0;5;1;0;110;1;1.1;0.9
10111;1;0;0;0;0;5;1;0;110;1;1.1;0.9
10112;1;0;0;0;0;5;1;0;110;1;1.1;0.9
10113;1;0;0;0;0;5;1;0;110;1;1.1;0.9
