fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
228;3493;0.025991;0.10048;0;305;305;305;0;0;1;-30;30
6826;3493;0.083711;0.8648;0;37;37;37;0;0;1;-30;30
7563;3493;0.447378;1.862089;0;17;17;17;0;0;1;-30;30
4427;3493;0.062169;0.153191;0;192;192;192;0;0;1;-30;30
8335;3493;2.492533;4.725778;0;6;6;6;0;0;1;-30;30
5155;3493;0.020271;0.08244;0;373;373;373;0;0;1;-30;30
271;3493;0.114160;1.777556;0;18;18;18;0;0;1;-30;30
5776;3493;0.574978;2.992578;0;11;11;11;0;0;1;-30;30
2449;3493;1.887067;4.964444;0;6;6;6;0;0;1;-30;30
4665;3493;0.250778;0.817422;0;37;37;37;0;0;1;-30;30
4495;3493;0.007049;0.029609;0;1038;1038;1038;0;0;1;-30;30
5587;4586;0.003049;0.020218;0;1545;1545;1545;0;0;1;-30;30
4423;4586;0.002911;0.020262;0;1544;1544;1544;0;0;1;-30;30
4929;2870;0.000040;0.00041;0;777;76679;76679;0;0;1;-30;30
4929;659;0.000870;0.01087;0;1303;2897;2897;0;0;1;-30;30
4929;1037;0.000040;0.00046;0;777;68410;68410;0;0;1;-30;30
4929;659;0.000950;0.00924;0;1501;3401;3401;0;0;1;-30;30
1815;5210;0.528017;2.636157;0;12;12;12;0;0;1;-30;30
1815;1445;0.032031;0.128659;0;239;239;239;0;0;1;-30;30
1616;7762;0.000440;0.0032;0;1665;9780;9780;0;0;1;-30;30
1616;2520;0.000460;0.00489;0;1731;6432;6432;0;0;1;-30;30
9064;7762;0.000300;0.00352;0;1600;8942;8942;0;0;1;-30;30
9064;89;0.000510;0.00454;0;1665;6915;6915;0;0;1;-30;30
1317;659;0.000680;0.00746;0;1633;4217;4217;0;0;1;-30;30
1317;8605;0.000930;0.01022;0;1764;3079;3079;0;0;1;-30;30
8605;1367;0.000040;0.0004;0;1501;78577;78577;0;0;1;-30;30
8605;8921;0.000780;0.00698;0;1764;4498;4498;0;0;1;-30;30
1163;1676;0.000040;0.00043;0;1600;73144;73144;0;0;1;-30;30
1163;7051;0.000250;0.00309;0;1698;10190;10190;0;0;1;-30;30
913;7762;0.000470;0.00538;0;1633;5849;5849;0;0;1;-30;30
2107;7762;0.000460;0.00548;0;1764;5744;5744;0;0;1;-30;30
2107;5996;0.000160;0.00173;0;1863;18181;18181;0;0;1;-30;30
2107;6293;0.001660;0.01471;0;1764;2134;2134;0;0;1;-30;30
913;7762;0.000510;0.00512;0;1797;6140;6140;0;0;1;-30;30
6704;8921;0.000210;0.00248;0;1534;12692;12692;0;0;1;-30;30
228;4586;0.004391;0.021689;0;306;1428;1428;0;0;1;-30;30
2441;6293;0.000240;0.00289;0;1665;10893;10893;0;0;1;-30;30
955;3506;0.000000;0.000222;0;358;142286;142286;0;0;1;-30;30
955;8964;0.017880;0.100471;0;310;310;310;0;0;1;-30;30
3506;2908;0.006458;0.039982;0;780;780;780;0;0;1;-30;30
228;6826;0.106151;0.993333;0;32;32;32;0;0;1;-30;30
228;5776;0.699778;3.232311;0;10;10;10;0;0;1;-30;30
8964;6826;0.257058;0.43592;0;63;63;63;0;0;1;-30;30
5776;6826;0.002769;0.011449;0;2682;2682;2682;0;0;1;-30;30
659;8329;0.000340;0.00305;0;1600;10293;10293;0;0;1;-30;30
659;7051;0.001230;0.01255;0;1863;2505;2505;0;0;1;-30;30
659;9239;0.000060;0.00065;0;1435;48391;48391;0;0;1;-30;30
659;7960;0.000060;0.00063;0;1534;49913;49913;0;0;1;-30;30
659;6233;0.000060;0.00055;0;1764;57093;57093;0;0;1;-30;30
659;5416;0.000790;0.00968;0;1369;3253;3253;0;0;1;-30;30
659;6798;0.000070;0.00079;0;39828;39828;39828;0;0;1;-30;30
792;3279;0.000000;0.000222;0;397;142286;142286;0;0;1;-30;30
7563;792;2.064178;7.545333;0;5;5;5;0;0;1;-30;30
7279;792;0.153711;0.482489;0;63;63;63;0;0;1;-30;30
8335;792;0.015809;0.12368;0;254;254;254;0;0;1;-30;30
2449;792;0.057978;0.363422;0;86;86;86;0;0;1;-30;30
4665;792;0.693200;2.196889;0;14;14;14;0;0;1;-30;30
4495;792;0.560356;2.395867;0;13;13;13;0;0;1;-30;30
5416;2267;0.000240;0.00213;0;777;14737;14737;0;0;1;-30;30
5416;7637;0.000930;0.00884;0;1303;3554;3554;0;0;1;-30;30
8964;2168;0.000000;0.000222;0;332;142286;142286;0;0;1;-30;30
3659;5996;0.000180;0.00204;0;1797;15425;15425;0;0;1;-30;30
5762;5996;0.000180;0.00208;0;777;15130;15130;0;0;1;-30;30
3242;5097;0.000000;0.000222;0;142286;142286;142286;0;0;1;-30;30
7563;3242;0.020680;0.093391;0;331;331;331;0;0;1;-30;30
4427;3242;0.777778;7.408;0;5;5;5;0;0;1;-30;30
3242;7279;0.008840;0.07292;0;431;431;431;0;0;1;-30;30
271;3242;0.131671;8.295556;0;4;4;4;0;0;1;-30;30
3242;1611;0.082462;0.568222;0;56;56;56;0;0;1;-30;30
5097;1611;0.004200;0.02624;0;1189;1189;1189;0;0;1;-30;30
8181;8179;0.000310;0.00317;0;1271;9918;9918;0;0;1;-30;30
8181;7762;0.000430;0.00498;0;1501;6320;6320;0;0;1;-30;30
9025;7762;0.000420;0.00508;0;1731;6197;6197;0;0;1;-30;30
7563;4427;0.110671;0.773067;0;41;41;41;0;0;1;-30;30
7563;7279;0.009120;0.037609;0;817;817;817;0;0;1;-30;30
7563;8335;0.098049;0.598711;0;53;53;53;0;0;1;-30;30
7563;5155;0.019031;1.160356;0;28;28;28;0;0;1;-30;30
7563;271;0.024071;0.915733;0;35;35;35;0;0;1;-30;30
2449;7563;1.484267;4.479111;0;7;7;7;0;0;1;-30;30
4665;7563;0.011578;0.063271;0;492;492;492;0;0;1;-30;30
4495;7563;0.654889;1.839111;0;17;17;17;0;0;1;-30;30
7563;1611;0.022049;0.10076;0;307;307;307;0;0;1;-30;30
4427;7279;0.459867;2.604711;0;12;12;12;0;0;1;-30;30
4427;8335;2.320222;6.088;0;5;5;5;0;0;1;-30;30
4427;5155;0.006369;0.048089;0;652;652;652;0;0;1;-30;30
4427;271;0.006631;0.0432;0;723;723;723;0;0;1;-30;30
2449;4427;2.567244;6.767111;0;5;5;5;0;0;1;-30;30
4665;4427;0.309889;1.214178;0;26;26;26;0;0;1;-30;30
4495;4427;0.009191;0.043289;0;714;714;714;0;0;1;-30;30
4427;1611;0.691022;5.239556;0;6;6;6;0;0;1;-30;30
5210;1445;0.002669;0.01718;0;1817;1817;1817;0;0;1;-30;30
8179;5509;0.000740;0.00694;0;1271;4526;4526;0;0;1;-30;30
8179;7762;0.000680;0.008;0;1567;3935;3935;0;0;1;-30;30
7279;4014;0.000000;0.000222;0;142286;142286;142286;0;0;1;-30;30
8335;7279;0.005240;0.030631;0;1017;1017;1017;0;0;1;-30;30
5155;7279;0.339320;3.814667;0;9;9;9;0;0;1;-30;30
271;7279;0.226960;2.614933;0;13;13;13;0;0;1;-30;30
2449;7279;0.190671;0.719378;0;43;43;43;0;0;1;-30;30
4665;7279;1.050222;2.105556;0;14;14;14;0;0;1;-30;30
4495;7279;1.431644;4.294578;0;7;7;7;0;0;1;-30;30
1611;7279;0.022618;0.161089;0;195;195;195;0;0;1;-30;30
5509;1579;0.000880;0.00895;0;1830;3513;3513;0;0;1;-30;30
8335;1531;0.000000;0.000222;0;319;142286;142286;0;0;1;-30;30
5155;8335;1.827778;7.768;0;4;4;4;0;0;1;-30;30
2449;8335;0.020849;0.153382;0;205;205;205;0;0;1;-30;30
4665;8335;0.156231;0.656267;0;47;47;47;0;0;1;-30;30
4495;8335;0.176498;0.891556;0;35;35;35;0;0;1;-30;30
7762;2268;0.000670;0.00777;0;1633;4051;4051;0;0;1;-30;30
5155;271;0.004578;0.061889;0;509;509;509;0;0;1;-30;30
5155;2908;0.013480;0.05932;0;520;520;520;0;0;1;-30;30
4665;5155;0.066391;2.802622;0;12;12;12;0;0;1;-30;30
4495;5155;0.194258;2.220444;0;15;15;15;0;0;1;-30;30
5155;1611;0.008151;0.072822;0;432;432;432;0;0;1;-30;30
271;2908;0.016502;0.055382;0;547;547;547;0;0;1;-30;30
4665;271;0.080600;4.633778;0;7;7;7;0;0;1;-30;30
4495;271;0.831556;3.729644;0;9;9;9;0;0;1;-30;30
271;1611;0.007951;0.074151;0;424;424;424;0;0;1;-30;30
1579;5848;0.000400;0.00362;0;1633;8673;8673;0;0;1;-30;30
7051;8847;0.000150;0.00177;0;1600;17783;17783;0;0;1;-30;30
5776;8229;0.000000;0.000222;0;142286;142286;142286;0;0;1;-30;30
317;6233;0.000020;0.00022;0;1698;142990;142990;0;0;1;-30;30
4665;2449;0.028640;0.172902;0;181;181;181;0;0;1;-30;30
2449;4495;0.017591;0.1404;0;224;224;224;0;0;1;-30;30
4665;4495;0.007520;0.031711;0;970;970;970;0;0;1;-30;30
1611;8420;0.000000;0.000222;0;566;142286;142286;0;0;1;-30;30
9024;6542;0.000742;0.067219;0;470;470;470;0.994359;0;1;-30;30
9024;6542;0.000793;0.06388;0;495;495;495;0.998418;0;1;-30;30
6069;9192;0.000609;0.046809;0;675;675;675;0.933053;0;1;-30;30
6069;1968;0.000590;0.04521;0;699;699;699;0.91223;0;1;-30;30
7829;1968;0.519194;5.108058;0;7;7;7;1;0;1;-30;30
8574;2299;0.000559;0.039982;0;790;790;790;0.919523;0;1;-30;30
8574;5587;0.000537;0.045312;0;698;698;698;0.948262;0;1;-30;30
4929;1815;0.000889;0.061549;0;514;514;514;0.996867;0;1;-30;30
1815;792;1.467822;7.764888;0;4;4;4;1;0;1;-30;30
6704;4586;0.000586;0.049031;0;645;645;645;0.923407;0;1;-30;30
2441;3506;0.000417;0.047801;0;661;661;661;0.952413;0;1;-30;30
1367;6826;0.000755;0.05143;0;615;615;615;0.924009;0;1;-30;30
1676;228;0.000733;0.052399;0;603;603;603;0.934986;0;1;-30;30
7829;6826;0.000780;0.064311;0;492;492;492;1;0;1;-30;30
659;3279;0.000890;0.048632;0;650;650;650;0.987002;0;1;-30;30
5210;792;0.008550;0.08972;0;351;351;351;1;0;1;-30;30
1445;792;0.002230;0.04836;0;653;653;653;1;0;1;-30;30
7180;2168;0.000581;0.043111;0;678;733;733;0.924038;0;1;-30;30
6833;8964;0.000579;0.043272;0;711;730;730;0.901005;0;1;-30;30
3659;3242;0.000586;0.049031;0;645;645;645;0.923407;0;1;-30;30
8181;4427;0.000559;0.049192;0;643;643;643;0.924009;0;1;-30;30
9025;7563;0.000573;0.051129;0;618;618;618;0.934986;0;1;-30;30
2267;5210;0.000417;0.039229;0;744;806;806;0.967059;0;1;-30;30
5210;7279;0.230542;1.197733;0;26;26;26;1;0;1;-30;30
5210;8335;0.022840;0.2644;0;120;120;120;1;0;1;-30;30
5210;2449;0.085370;0.736798;0;43;43;43;1;0;1;-30;30
5210;4665;1.402768;3.640289;0;9;9;9;1;0;1;-30;30
5210;4495;1.050227;4.450207;0;7;7;7;1;0;1;-30;30
8179;7279;0.000716;0.04371;0;723;723;723;0.934986;0;1;-30;30
1445;7279;0.518622;2.317689;0;14;14;14;1;0;1;-30;30
5509;8335;0.000590;0.045662;0;692;692;692;0.955958;0;1;-30;30
5509;1531;0.000603;0.050959;0;620;620;620;0.968125;0;1;-30;30
1445;8335;0.047769;0.554178;0;57;57;57;1;0;1;-30;30
7762;5155;0.000591;0.045153;0;700;700;700;0.918868;0;1;-30;30
7762;271;0.000600;0.047778;0;662;662;662;0.948976;0;1;-30;30
7829;5776;0.024360;0.270151;0;117;117;117;1;0;1;-30;30
8329;1445;0.000802;0.05727;0;552;552;552;0.967021;0;1;-30;30
8329;1445;0.000823;0.056059;0;564;564;564;0.967021;0;1;-30;30
1445;2449;0.188099;1.291901;0;25;25;25;1;0;1;-30;30
1445;4665;2.466323;7.26343;0;5;5;5;1;0;1;-30;30
2268;2908;0.000523;0.050352;0;628;628;628;0.934622;0;1;-30;30
8847;5776;0.000682;0.049638;0;637;637;637;0.913034;0;1;-30;30
8847;8103;0.000990;0.04736;0;667;667;667;1.012146;0;1;-30;30
317;2449;0.000616;0.048759;0;648;648;648;0.933053;0;1;-30;30
7637;8581;0.000090;0.015499;0;1698;2038;2038;1;-0.428189;1;-30;30
5848;7526;0.000090;0.00963;0;1698;3280;3280;1;0.178581;1;-30;30
89;4495;0.000664;0.045609;0;693;693;693;0.924009;0;1;-30;30
2520;4665;0.000649;0.044862;0;705;705;705;0.933053;0;1;-30;30
5996;8420;0.000670;0.04326;0;731;731;731;0.923407;0;1;-30;30
2154;5996;0.000090;0.009901;0;1698;3191;3191;1;-0.153178;1;-30;30
