BUS;PD;QD;Vmax;Vmin;baseKV;zone
1483;0;0;1.1;0.9;220;5
1486;79.59;18.8;1.1;0.9;220;5
1494;-1.85;-1.63;1.1;0.9;380;5
1502;0;0;1.1;0.9;380;5
1504;0;0;1.1;0.9;220;5
1526;-10.86;-5.93;1.1;0.9;220;5
1538;36.34;15.2;1.1;0.9;220;5
1539;73.58;3.24;1.1;0.9;220;5
1541;125.4;45.8;1.1;0.9;220;5
1545;42.55;8.2;1.1;0.9;220;5
1547;0;0;1.1;0.9;220;5
1551;0;0;1.1;0.9;220;5
1552;20.42;8.1;1.1;0.9;380;5
1554;0;0;1.1;0.9;220;5
1556;0;0;1.1;0.9;220;5
1562;77.39;24.1;1.1;0.9;220;5
1566;156.9;-4;1.1;0.9;220;5
1568;69.08;21.5;1.1;0.9;220;5
1578;0;0;1.1;0.9;220;5
1584;0;0;1.1;0.9;220;5
1592;28.33;44.8;1.1;0.9;220;5
1595;71.77;13.57;1.1;0.9;220;5
1604;0;0;1.1;0.9;220;5
1605;0;0;1.1;0.9;220;5
1607;73.78;0;1.1;0.9;380;5
1609;0;0;1.1;0.9;220;5
1625;73.18;22.3;1.1;0.9;220;5
1629;41.95;8.5;1.1;0.9;220;5
1642;0;0;1.1;0.9;380;5
1643;95.71;25.9;1.1;0.9;220;5
1644;449.56;245.72;1.1;0.9;380;5
1662;3.67;-1.86;1.1;0.9;220;5
1672;-28.13;-0.83;1.1;0.9;220;5
1680;0;0;1.1;0.9;380;5
1692;83.19;25.8;1.1;0.9;220;5
1704;62.16;8;1.1;0.9;220;5
1708;0;0;1.1;0.9;380;5
1709;-15.38;-4.94;1.1;0.9;380;5
1711;25.13;-61.6;1.1;0.9;220;5
1721;0;0;1.1;0.9;220;5
1730;-17.18;-4.35;1.1;0.9;380;5
1742;0;0;1.1;0.9;220;5
1746;0;0;1.1;0.9;220;5
1750;58.46;6.6;1.1;0.9;220;5
1754;0;0;1.1;0.9;380;5
1758;0;0;1.1;0.9;380;5
1763;0;0;1.1;0.9;380;5
1767;333.5;-1.4;1.1;0.9;220;5
1768;73.98;22.5;1.1;0.9;220;5
1775;0;0;1.1;0.9;220;5
1794;0;0;1.1;0.9;380;5
1798;-0.63;-0.83;1.1;0.9;380;5
1803;0;0;1.1;0.9;220;5
1808;0;0;1.1;0.9;220;5
1813;88.92;19.79;1.1;0.9;220;5
1817;108.91;33.7;1.1;0.9;380;5
1833;0;0;1.1;0.9;220;5
1838;0;0;1.1;0.9;220;5
1844;-28.14;-0.76;1.1;0.9;220;5
1851;0;0;1.1;0.9;220;5
1852;0;0;1.1;0.9;220;5
1857;0;0;1.1;0.9;220;5
1860;88.8;-3.2;1.1;0.9;220;5
1866;209.2;23.5;1.1;0.9;220;5
1868;11.71;3.8;1.1;0.9;220;5
1876;0;0;1.1;0.9;380;5
1883;27.33;5;1.1;0.9;220;5
1888;0;0;1.1;0.9;220;5
1895;20.82;0;1.1;0.9;220;5
1896;0;0;1.1;0.9;380;5
1910;0;0;1.1;0.9;220;5
1914;0;0;1.1;0.9;220;5
1917;197.5;-31;1.1;0.9;220;5
1923;192.11;45.5;1.1;0.9;380;5
1940;0;0;1.1;0.9;220;5
1959;0;0;1.1;0.9;220;5
1965;248.7;8.1;1.1;0.9;220;5
1973;210.1;66.2;1.1;0.9;220;5
1979;0;0;1.1;0.9;220;5
1980;177.3;36.4;1.1;0.9;220;5
1998;25.73;7.3;1.1;0.9;220;5
2012;41.45;4.9;1.1;0.9;220;5
2019;72.08;21.3;1.1;0.9;220;5
2020;0;0;1.1;0.9;220;5
2021;3.9;1;1.1;0.9;220;5
2035;0;0;1.1;0.9;380;5
2042;14.02;6.5;1.1;0.9;220;5
2043;3.2;1.7;1.1;0.9;220;5
2044;0;0;1.1;0.9;220;5
2050;0;0;1.1;0.9;380;5
2056;0;0;1.1;0.9;380;5
2057;120.2;20.5;1.1;0.9;220;5
2072;101.2;2.1;1.1;0.9;380;5
2078;77.19;18.6;1.1;0.9;220;5
2079;0;0;1.1;0.9;220;5
2083;121.4;20.2;1.1;0.9;220;5
2085;0;0;1.1;0.9;380;5
2088;0;0;1.1;0.9;220;5
2089;199.86;56.93;1.1;0.9;220;5
2093;-5.64;-2.84;1.1;0.9;380;5
2101;0;0;1.1;0.9;380;5
2128;79.09;18.7;1.1;0.9;220;5
2129;0;0;1.1;0.9;380;5
2132;107.3;14.2;1.1;0.9;220;5
2142;0;0;1.1;0.9;220;5
2155;63.67;20.2;1.1;0.9;220;5
2161;35.66;-9.39;1.1;0.9;220;5
2166;20.92;7.7;1.1;0.9;220;5
2174;0;0;1.1;0.9;380;5
2177;0;0;1.1;0.9;220;5
2183;0;0;1.1;0.9;380;5
2189;0;0;1.1;0.9;220;5
2197;0;0;1.1;0.9;380;5
2208;74.98;26.9;1.1;0.9;220;5
2229;0;0;1.1;0.9;220;5
2230;0;0;1.1;0.9;220;5
2231;0;0;1.1;0.9;220;5
2242;0;0;1.1;0.9;220;5
2252;100.7;-4.2;1.1;0.9;220;5
2273;141.3;32.4;1.1;0.9;220;5
2276;0;0;1.1;0.9;220;5
2286;208.88;60.8;1.1;0.9;220;5
2288;170.9;39;1.1;0.9;220;5
2291;0;0;1.1;0.9;220;5
2303;0;0;1.1;0.9;220;5
2304;88.7;-0.1;1.1;0.9;220;5
2308;32.04;6.6;1.1;0.9;220;5
2313;0;0;1.1;0.9;220;5
2319;39.64;20.9;1.1;0.9;220;5
2327;114.5;25.2;1.1;0.9;220;5
2328;0;0;1.1;0.9;220;5
2337;103.4;27;1.1;0.9;220;5
2340;96.91;13.9;1.1;0.9;220;5
2341;0;0;1.1;0.9;220;5
2359;0;0;1.1;0.9;380;5
2360;215.5;31.3;1.1;0.9;220;5
2361;16.9;3.85;1.1;0.9;220;5
2365;37.94;15.4;1.1;0.9;380;5
2372;0;0;1.1;0.9;380;5
2377;101.7;17.6;1.1;0.9;220;5
2393;20.82;0;1.1;0.9;220;5
2406;0;0;1.1;0.9;220;5
2421;0;0;1.1;0.9;220;5
2424;44.55;16.8;1.1;0.9;220;5
2425;0;0;1.1;0.9;220;5
2426;0;0;1.1;0.9;220;5
2430;0;0;1.1;0.9;220;5
2432;291.2;35.4;1.1;0.9;220;5
2438;0;0;1.1;0.9;220;5
2446;0;0;1.1;0.9;380;5
2457;30.73;9.6;1.1;0.9;220;5
2458;132;26;1.1;0.9;380;5
2467;0;0;1.1;0.9;220;5
2468;0;0;1.1;0.9;220;5
2475;0;0;1.1;0.9;220;5
2479;-2.65;-1.17;1.1;0.9;380;5
2481;0;0;1.1;0.9;220;5
2489;0;0;1.1;0.9;220;5
2503;0;0;1.1;0.9;220;5
2510;115.87;29.41;1.1;0.9;220;5
2518;-5.29;-1.91;1.1;0.9;380;5
2526;238.45;46.86;1.1;0.9;380;5
2527;59.77;16.7;1.1;0.9;220;5
2535;51.56;2.1;1.1;0.9;220;5
2550;0;0;1.1;0.9;220;5
2558;159.27;38.31;1.1;0.9;220;5
2563;52.86;13;1.1;0.9;220;5
2575;62.97;17.4;1.1;0.9;220;5
2591;253.77;84.6;1.1;0.9;220;5
2597;14.72;5.4;1.1;0.9;220;5
2598;25.63;12.7;1.1;0.9;220;5
2600;0;0;1.1;0.9;220;5
2627;0;0;1.1;0.9;380;5
2629;203.1;65.2;1.1;0.9;220;5
2641;0;0;1.1;0.9;220;5
2644;0;0;1.1;0.9;220;5
2653;0;0;1.1;0.9;220;5
2654;207.1;50.4;1.1;0.9;220;5
2656;-0.72;0;1.1;0.9;380;5
2676;123.24;23.65;1.1;0.9;220;5
2689;0;0;1.1;0.9;220;5
2695;16.22;8.9;1.1;0.9;220;5
2702;151.7;27.6;1.1;0.9;220;5
2719;0;0;1.1;0.9;220;5
2721;0;0;1.1;0.9;380;5
2732;85.59;20.72;1.1;0.9;380;5
2749;55.56;26.5;1.1;0.9;220;5
2751;34.54;8.6;1.1;0.9;220;5
2754;0;0;1.1;0.9;220;5
2770;85.39;14.3;1.1;0.9;220;5
2782;-28.13;-0.81;1.1;0.9;220;5
2786;0;0;1.3;0.7;380;5
2794;0;0;1.1;0.9;220;5
2795;0;0;1.1;0.9;220;5
2797;0;0;1.1;0.9;220;5
2799;0;0;1.1;0.9;220;5
2801;0;0;1.1;0.9;220;5
2806;0;0;1.1;0.9;220;5
2815;25.33;14.2;1.1;0.9;220;5
2816;0;0;1.1;0.9;380;5
2841;0;0;1.1;0.9;220;5
2842;0;0;1.1;0.9;220;5
2847;40.14;8.8;1.1;0.9;220;5
2848;453.23;139.16;1.1;0.9;380;5
2850;0;0;1.1;0.9;220;5
2854;-12.33;-2.65;1.1;0.9;380;5
2863;37.73;13.84;1.1;0.9;220;5
2866;0;0;1.1;0.9;220;5
2872;0;0;1.1;0.9;220;5
2877;29.93;0;1.1;0.9;220;5
2878;0;0;1.1;0.9;220;5
2886;0;0;1.1;0.9;220;5
2888;0;0;1.1;0.9;220;5
2889;0;0;1.1;0.9;220;5
2898;56.76;13.4;1.1;0.9;220;5
2902;0;0;1.1;0.9;220;5
2910;0;0;1.1;0.9;220;5
2918;0;0;1.1;0.9;380;5
2919;0;0;1.1;0.9;380;5
2924;19.92;7.4;1.1;0.9;220;5
2928;0;0;1.1;0.9;220;5
2930;0;0;1.1;0.9;220;5
2931;230.7;19.3;1.1;0.9;220;5
2934;0;0;1.1;0.9;220;5
2938;0;0;1.1;0.9;380;5
2940;103;28.7;1.1;0.9;220;5
2949;0;0;1.1;0.9;220;5
2961;159.9;53.2;1.1;0.9;220;5
2967;0;0;1.1;0.9;220;5
2968;112.51;16.51;1.1;0.9;220;5
2972;97.82;20.59;1.1;0.9;220;5
2980;0;0;1.1;0.9;380;5
2981;0;0;1.1;0.9;220;5
2985;0;0;1.1;0.9;220;5
2995;0;0;1.1;0.9;220;5
3013;2.2;1.1;1.1;0.9;220;5
3018;0;0;1.1;0.9;220;5
3019;0;0;1.1;0.9;220;5
3021;74.38;8.8;1.1;0.9;220;5
3022;149;19.8;1.1;0.9;380;5
3028;0;0;1.1;0.9;380;5
3036;116.93;33.6;1.1;0.9;220;5
3037;221;146.8;1.1;0.9;220;5
3044;29.33;5.6;1.1;0.9;220;5
3051;0;0;1.1;0.9;220;5
3069;89.6;22.7;1.1;0.9;220;5
3070;0;0;1.1;0.9;220;5
3071;0;0;1.1;0.9;220;5
3072;92.9;27.7;1.1;0.9;220;5
3075;30.33;10.5;1.1;0.9;220;5
3082;0;0;1.1;0.9;380;5
3083;567.97;130.73;1.1;0.9;220;5
3085;64.67;24.5;1.1;0.9;220;5
3112;0;0;1.1;0.9;220;5
3114;0;0;1.1;0.9;220;5
3121;242.16;73.64;1.1;0.9;220;5
3126;104.78;20.92;1.1;0.9;220;5
3133;0;0;1.1;0.9;220;5
3134;0;0;1.1;0.9;220;5
3137;0;0;1.1;0.9;220;5
3145;860.95;-182.67;1.1;0.9;380;5
3166;184.91;32.8;1.1;0.9;220;5
3183;0;0;1.1;0.9;220;5
3184;14.12;7.7;1.1;0.9;220;5
3187;107;34.7;1.1;0.9;220;5
3191;127.8;15.2;1.1;0.9;220;5
3200;86.2;19.9;1.1;0.9;220;5
3204;8.51;3.2;1.1;0.9;220;5
3205;0;0;1.1;0.9;380;5
3218;0;0;1.1;0.9;220;5
3221;76.38;24.8;1.1;0.9;220;5
3231;251.3;42.6;1.1;0.9;220;5
3239;-5.06;-1.84;1.1;0.9;380;5
3240;0;0;1.1;0.9;220;5
3241;132;27;1.1;0.9;220;5
3243;0;0;1.1;0.9;380;5
3246;20.9;-171.5;1.1;0.9;220;5
3248;84.19;17.3;1.1;0.9;220;5
3255;0;0;1.1;0.9;220;5
3276;0;0;1.1;0.9;220;5
3293;33.14;11.6;1.1;0.9;220;5
3306;0;0;1.1;0.9;220;5
3324;0;0;1.1;0.9;220;5
3325;0;0;1.1;0.9;220;5
3327;0;0;1.1;0.9;220;5
3331;0;0;1.1;0.9;220;5
3344;83.29;24.1;1.1;0.9;220;5
3346;0;0;1.1;0.9;380;5
3353;0;0;1.1;0.9;220;5
3364;0;0;1.1;0.9;220;5
3377;77.49;21.4;1.1;0.9;220;5
3390;0;0;1.1;0.9;220;5
3391;302.5;65.1;1.1;0.9;220;5
3400;0;0;1.1;0.9;220;5
3401;23.22;6.3;1.1;0.9;220;5
3412;0;0;1.1;0.9;220;5
3422;0;0;1.1;0.9;220;5
3430;125.1;44;1.1;0.9;220;5
3435;0;0;1.1;0.9;220;5
3436;0;0;1.1;0.9;220;5
3445;45.14;-6.64;1.1;0.9;380;5
3450;78.99;16.2;1.1;0.9;220;5
3481;142.5;23.6;1.1;0.9;220;5
3483;157.78;276.03;1.1;0.9;380;5
3485;0;0;1.1;0.9;380;5
3486;101.5;-18.3;1.1;0.9;220;5
3488;55.66;4.5;1.1;0.9;220;5
3492;0;0;1.1;0.9;220;5
3496;99.3;23.3;1.1;0.9;220;5
3498;138.5;19.3;1.1;0.9;220;5
3499;180.4;71.6;1.1;0.9;380;5
3502;98.2;19.1;1.1;0.9;220;5
3503;0;0;1.1;0.9;220;5
3513;0;0;1.1;0.9;380;5
3519;0;0;1.1;0.9;380;5
3520;0;0;1.1;0.9;220;5
3526;33.34;13.2;1.1;0.9;220;5
3535;0;0;1.1;0.9;220;5
3541;0;0;1.1;0.9;220;5
3543;0;0;1.1;0.9;380;5
3545;20.12;7.6;1.1;0.9;220;5
3557;87.2;31.8;1.1;0.9;220;5
3558;0;0;1.1;0.9;220;5
3565;0;0;1.1;0.9;220;5
3577;-38.7;-12.99;1.1;0.9;380;5
3579;277.72;7.35;1.1;0.9;220;5
3580;0;0;1.1;0.9;220;5
3589;37.54;18.3;1.1;0.9;220;5
3594;31.43;6.6;1.1;0.9;220;5
3601;0;0;1.1;0.9;220;5
3602;86.6;14.9;1.1;0.9;220;5
3608;0;0;1.1;0.9;380;5
3609;-28.13;-0.82;1.1;0.9;220;5
3610;185.8;31.8;1.1;0.9;220;5
3611;0;0;1.1;0.9;220;5
3613;152.5;14.4;1.1;0.9;380;5
3643;24.23;6.4;1.1;0.9;220;5
3645;42.55;17.6;1.1;0.9;220;5
3649;0;0;1.1;0.9;220;5
3654;20.72;5;1.1;0.9;220;5
3656;0;0;1.1;0.9;220;5
3657;131;1.3;1.1;0.9;220;5
3661;0;0;1.1;0.9;380;5
3670;28.03;6.5;1.1;0.9;220;5
3672;82.99;25.9;1.1;0.9;220;5
3674;155.05;39.56;1.1;0.9;220;5
3680;0;0;1.1;0.9;220;5
3697;-32.71;-13.76;1.1;0.9;380;5
3698;0;0;1.1;0.9;220;5
3701;0;0;1.1;0.9;220;5
3707;77.49;17.3;1.1;0.9;220;5
3718;179.4;58.3;1.1;0.9;220;5
3737;42.48;10.36;1.1;0.9;220;5
3740;0;0;1.1;0.9;220;5
3741;0;0;1.1;0.9;380;5
3749;115.1;16.4;1.1;0.9;220;5
3758;83.49;17.4;1.1;0.9;220;5
3760;163.5;44.9;1.1;0.9;220;5
3768;19.82;10.9;1.1;0.9;220;5
3775;55.54;15.06;1.1;0.9;220;5
3786;0;0;1.1;0.9;220;5
3793;197.7;67.65;1.1;0.9;220;5
3794;165.3;7.4;1.1;0.9;380;5
3809;0;0;1.1;0.9;220;5
3814;130.5;24.7;1.1;0.9;220;5
3817;0;0;1.1;0.9;220;5
3818;44.45;10.9;1.1;0.9;220;5
3825;0;0;1.1;0.9;380;5
3830;0;0;1.1;0.9;380;5
3834;160;69.2;1.1;0.9;220;5
3855;-38.73;-15.32;1.1;0.9;220;5
3857;0;0;1.1;0.9;220;5
3865;0;0;1.1;0.9;220;5
3866;201.06;19.46;1.1;0.9;220;5
3869;0;0;1.1;0.9;380;5
3876;0;0;1.1;0.9;220;5
3880;-28.13;-0.82;1.1;0.9;220;5
3894;0;0;1.1;0.9;220;5
3903;0;0;1.1;0.9;220;5
3906;0;0;1.1;0.9;380;5
3912;0;0;1.1;0.9;220;5
3916;0;0;1.1;0.9;220;5
3918;-11.8;-5.47;1.1;0.9;380;5
3919;0;0;1.1;0.9;380;5
3925;89.3;25.1;1.1;0.9;220;5
3928;105.2;24.2;1.1;0.9;220;5
3929;48.95;11.6;1.1;0.9;220;5
3951;0;0;1.1;0.9;220;5
3956;0;0;1.1;0.9;220;5
3962;19.42;11.8;1.1;0.9;220;5
3969;0;0;1.1;0.9;220;5
3971;0;0;1.1;0.9;220;5
3975;148;26.1;1.1;0.9;220;5
3985;77.19;26.5;1.1;0.9;220;5
3994;36.34;10.4;1.1;0.9;220;5
3997;26.13;9.7;1.1;0.9;220;5
3999;110.8;36.9;1.1;0.9;220;5
4000;0;0;1.1;0.9;380;5
4005;171.18;28.49;1.1;0.9;220;5
4024;0;0;1.1;0.9;380;5
4025;0;0;1.1;0.9;220;5
4031;0;0;1.1;0.9;220;5
4032;265.7;113.5;1.1;0.9;220;5
4039;0;0;1.1;0.9;220;5
4049;0;0;1.1;0.9;220;5
4054;0;0;1.1;0.9;220;5
4056;0;0;1.1;0.9;220;5
4060;0;0;1.1;0.9;220;5
4084;0;0;1.1;0.9;220;5
4100;0;0;1.1;0.9;220;5
4103;81.09;12.5;1.1;0.9;220;5
4110;13.01;3.8;1.1;0.9;220;5
4114;9.91;5.4;1.1;0.9;220;5
4118;0;0;1.1;0.9;220;5
4125;0;0;1.1;0.9;380;5
4127;39.14;7.7;1.1;0.9;220;5
4128;0;0;1.1;0.9;220;5
4134;0;0;1.1;0.9;220;5
4141;-0.62;0;1.1;0.9;380;5
4143;11.11;4.1;1.1;0.9;220;5
4144;310.2;4.5;1.1;0.9;220;5
4157;0;0;1.1;0.9;220;5
4185;87.5;21.3;1.1;0.9;220;5
4186;0;0;1.1;0.9;220;5
4189;200.65;30.72;1.1;0.9;220;5
4196;-3.2;-1.05;1.1;0.9;380;5
4197;9.01;4.9;1.1;0.9;220;5
4205;5.81;1.7;1.1;0.9;220;5
4215;0;0;1.1;0.9;220;5
4231;0;0;1.1;0.9;380;5
4234;0;0;1.1;0.9;220;5
4235;0;0;1.1;0.9;220;5
4239;190.7;52;1.1;0.9;220;5
4245;24.93;9.6;1.1;0.9;220;5
4251;47.15;15.7;1.1;0.9;220;5
4267;70.78;19.6;1.1;0.9;220;5
4281;0;0;1.1;0.9;220;5
4300;81.49;25.1;1.1;0.9;220;5
4301;0;0;1.1;0.9;220;5
4306;0;0;1.1;0.9;380;5
4313;133.4;29.4;1.1;0.9;220;5
4314;26.13;2.7;1.1;0.9;220;5
4324;307.42;-38.3;1.1;0.9;220;5
4331;0;0;1.1;0.9;220;5
4339;0;0;1.1;0.9;380;5
4353;165.8;44;1.1;0.9;220;5
4355;65.07;15;1.1;0.9;220;5
4357;235;58.9;1.1;0.9;220;5
4368;90.6;15.8;1.1;0.9;220;5
4395;0;0;1.1;0.9;220;5
4402;0;0;1.1;0.9;220;5
4410;45.05;13.2;1.1;0.9;220;5
4418;0;0;1.1;0.9;220;5
4419;0;0;1.1;0.9;380;5
4426;485.5;-63.38;1.1;0.9;220;5
4432;0;0;1.1;0.9;220;5
4435;0;0;1.1;0.9;380;5
4454;0;0;1.1;0.9;220;5
4480;0;0;1.1;0.9;220;5
4482;0;0;1.1;0.9;220;5
4484;69.78;25;1.1;0.9;220;5
