F_BUS;T_BUS;R;X;BSh;L_SMAX;status
28;30;0.00432531;0.0200998;0.00802657;230.9;1
29;356;0.00799791;0.0387782;0.0352203;188.9;1
30;26;0.00666488;0.0320152;0.0220243;304.68;1
31;228;0.008946;0.057044;0.025829;280;1
31;296;0.00518286;0.0326049;0.0584572;358.79;1
31;415;0.0113363;0.0554702;0.0432148;231.46;1
33;32;0.00681448;0.0338755;0.0131701;196.59;1
34;33;0.00341126;0.0247052;0.0295283;270.99;1
34;33;0.00341126;0.0247052;0.0295283;270.99;1
35;40;0.00293506;0.0185201;0.00990083;228.32;1
35;42;0.00449505;0.0326042;0.0129473;276.08;1
36;2;0.00289863;0.0167658;0.0148842;188.66;1
36;33;0.00284038;0.0206656;0.011617;213.45;0
37;35;0.00780774;0.0366615;0.0156035;218.76;1
37;44;0.00830767;0.0554788;0.0311844;200.99;1
38;39;0.00316109;0.0157664;0.019275;252.83;1
38;49;0.0106902;0.0689767;0.0297214;204.2;1
39;35;0.00384653;0.022595;0.0115165;259.81;1
39;35;0.00384653;0.022595;0.0115165;259.81;1
39;361;0.00410223;0.0323982;0.0223687;296.76;1
39;361;0.00410223;0.0323982;0.0223687;296.76;1
39;361;0.00410223;0.0323982;0.0223687;296.76;0
41;43;0.000233031;0.00104503;0;99999;1
42;40;0.00435644;0.0248836;0.0126137;308.21;1
43;54;0.00111725;0.0133249;0.292213;1210.87;1
43;498;0.00161178;0.0198636;0.286039;1210.03;1
44;42;0.00483059;0.022229;0.00975406;240.21;1
45;36;0.00469767;0.0323288;0.00954514;196.67;1
45;37;0.00411194;0.0226471;0.0067485;223.09;1
46;45;0.0023403;0.0128024;0.0123531;401.85;1
46;50;0.00351582;0.0151322;0.0225659;213.18;1
46;51;0.00390017;0.0201794;0.0263679;290.75;1
46;51;0.00390017;0.0201794;0.0263679;290.75;1
46;214;0.00565635;0.0285577;0.0458282;324.34;1
47;40;0.00542345;0.0298445;0.00973297;209.65;1
48;50;0.00493315;0.0197057;0.0266381;231;1
48;480;0.0141266;0.063385;0.013796;270.01;1
49;47;0.00274605;0.0168842;0.011861;210.29;1
50;49;0.00420333;0.0189576;0.00848235;263.28;1
50;51;0.00306979;0.0198041;0.0129611;299.51;1
51;48;0.00285314;0.0207706;0.0111933;206.03;1
51;70;0.00927047;0.0420854;0.0202396;302.02;1
51;357;0.00606199;0.0375019;0.0462067;281.97;1
51;357;0.00606199;0.0375019;0.0462067;281.97;1
51;357;0.00606199;0.0375019;0.0462067;281.97;1
52;54;0.000209023;0.00101092;0;99999;1
53;32;0.00540244;0.030335;0.00829098;226.77;1
53;36;0.00511899;0.0318872;0.0170703;230.21;1
53;45;0.00448796;0.0251172;0.0179586;273.78;1
53;45;0.00448796;0.0251172;0.0179586;273.78;1
55;72;0.00255071;0.0145816;0.0529998;202.42;1
57;66;0.012542;0.0731735;0.0174808;188.33;1
57;161;0.0318774;0.176516;0.0907922;198.2;1
57;255;0.00718102;0.0390624;0.0537424;300;1
58;59;0.00838826;0.044004;0.0215912;282.33;1
59;179;0.0199692;0.12545;0.0343653;209.05;1
60;211;0.0107783;0.0696549;0.0231844;234.89;1
61;469;0.00533577;0.0355112;0.0133687;209.34;1
62;169;0.0229231;0.141757;0.0331327;284.38;1
62;245;0.0171145;0.104922;0.0526062;205.64;1
62;271;0.0225085;0.129199;0.0416435;215.63;1
63;396;0.00684768;0.035438;0.0555983;276.04;1
63;396;0.00684768;0.035438;0.0555983;318.9;1
64;308;0.0045429;0.0249656;0.0222506;204.94;1
65;118;0.00682259;0.0489818;0.0291852;187.98;1
65;122;0.0114556;0.0789436;0.0221672;223.13;1
66;180;0.013631;0.0750424;0.0174066;212.27;1
67;415;0.0105199;0.0574565;0.0373877;237.15;1
68;159;0.00605992;0.0375113;0.0255276;229.73;1
68;377;0.00417649;0.0277901;0.0160845;244.32;1
69;1;0.0263485;0.135443;0.0504152;230.13;1
69;263;0.0303392;0.0797752;0.029101;203.37;1
70;357;0.00846265;0.0516422;0.0102433;188.28;1
70;480;0.00434341;0.0202377;0.00802619;410.92;1
71;6;0.0078159;0.0497093;0.0146629;266.45;1
71;236;0.00800132;0.0463031;0.04138;201.33;1
72;138;0.00444643;0.0351083;0.0127807;207.55;1
73;72;0.00533244;0.0343247;0.0255959;220.8;1
73;147;0.00440739;0.0228773;0.164518;299.52;1
74;96;0.00818286;0.0350286;0.0519578;247.19;1
74;267;0.00959142;0.0610596;0.0235834;231.57;1
75;8;0.00464284;0.0333214;0.0209588;200.72;1
75;358;0.0102235;0.0653;0.0229694;188.8;1
76;87;0.00734959;0.0479733;0.0311735;229.57;1
76;98;0.00991719;0.0433979;0.0140715;204.48;1
77;79;0.00410741;0.0215648;0.0277571;211.27;1
77;107;0.0117458;0.0474083;0.0162089;218.26;1
78;107;0.0111029;0.0647119;0.0107653;206.24;1
78;175;0.0000001;0.03;0;99999;1
79;78;0.00255254;0.0159622;0.00899812;203;1
79;107;0.00331842;0.0132353;0.0146141;250.46;1
80;348;0.00704419;0.0429071;0.0164992;208.58;1
81;83;0.00531978;0.0288681;0.0129334;207.61;1
81;166;0.00541342;0.0336256;0.0795896;293.17;1
81;229;0.00312946;0.0211726;0.124132;215.36;1
82;266;0.0114333;0.0592337;0.0223159;204.89;1
82;310;0.0131116;0.0919649;0.0333501;257.15;1
83;430;0.0054217;0.0345595;0.00848049;222.55;1
84;139;0.00435711;0.0190405;0.0137408;210.32;1
84;195;0.00929083;0.0588771;0.0219609;259.57;1
84;195;0.00929083;0.0588771;0.0219609;259.57;1
84;266;0.00501492;0.0413843;0.0291757;246.13;1
84;436;0.00700667;0.0414708;0.015102;258.28;1
85;161;0.00894783;0.0484215;0.0154075;177.52;1
86;91;0.00643134;0.0345851;0.0231473;223.14;1
87;86;0.00619339;0.0427095;0.00952131;237.28;1
87;89;0.00793475;0.0435997;0.0184649;258.25;1
87;274;0.0196035;0.0686154;0.0349382;292.99;1
87;274;0.0196035;0.0686154;0.0349382;292.99;1
88;86;0.00619872;0.0363008;0.0141733;239.42;1
89;91;0.00819369;0.0464744;0.00929417;259.02;1
90;92;0.000270441;0.00111124;0;99999;1
90;273;0.00115634;0.013527;0.194866;1462.73;1
91;143;0.00923127;0.055819;0.0278186;236.4;1
94;239;0.00830591;0.0293227;0.00963458;256.91;1
95;100;0.00486868;0.0263368;0.0205417;208.4;1
95;205;0.0121886;0.0614622;0.0273777;174.34;1
97;90;0.00120165;0.0138189;0.259737;1139.35;1
97;99;0.000275423;0.00105221;0;99999;1
97;273;0.00243082;0.0302411;0.519784;1267.29;1
97;405;0.00207844;0.0243675;0.524041;1074.6;1
98;101;0.00804282;0.0445249;0.0172134;306.67;1
100;101;0.00296664;0.0146402;0.0208753;253.07;1
101;126;0.0135607;0.0668913;0.0172284;191.2;1
102;69;0.00789353;0.0491556;0.052004;227.8;1
102;103;0.00616992;0.040555;0.0247805;209.35;1
103;219;0.0165793;0.0810327;0.0235267;219.57;1
103;376;0.00542668;0.0326243;0.0184557;224.43;1
104;9;0.0120051;0.0621569;0.0229572;191.72;1
104;163;0.0181989;0.10493;0.0417728;244.46;1
104;226;0.0129352;0.086119;0.0522159;196.78;1
105;58;0.0099657;0.0594587;0.0230392;201.82;1
105;399;0.028421;0.116472;0.031104;224;1
106;108;0.000297923;0.00115791;0;99999;1
107;206;0.00809361;0.0597339;0.0473542;238.35;1
108;414;0.00172335;0.0206772;0.504555;1228.85;1
109;200;0.0203907;0.118914;0.0276247;220.15;1
110;196;0.0042827;0.0235603;0.0191082;216.49;1
110;398;0.00483279;0.0258082;0.0159547;252.34;1
111;196;0.00542194;0.0344726;0.0102377;214.05;1
112;423;0.00423329;0.0285922;0.0763694;249.73;1
113;260;0.00834035;0.0512955;0.0347496;202.53;1
113;398;0.00663848;0.0305149;0.0128669;227.33;1
114;111;0.00910642;0.0400126;0.0159566;208.23;1
114;398;0.0120679;0.061943;0.023604;226.07;1
115;77;0.00411865;0.0255403;0.0178958;230.62;1
115;131;0.00819163;0.0553686;0.0263614;218.92;1
115;228;0.0126336;0.0592473;0.0119379;217.39;1
116;206;0.00973095;0.0504602;0.019357;222.37;1
117;217;0.00511447;0.0253149;0.10592;223.26;1
119;121;0.000242957;0.0011457;0;99999;1
120;477;0.00424349;0.0233087;0.157389;190.09;1
121;151;0.00155598;0.0200038;0.655713;1248.37;1
122;477;0.00591039;0.0286753;0.0112938;248.26;1
124;24;0.00552089;0.0312098;0.0117206;322.21;1
124;122;0.00616606;0.0403861;0.0183176;295.24;1
125;333;0.00816597;0.0423005;0.0261657;268.04;1
125;453;0.00365157;0.0256689;0.0121744;199.42;1
127;9;0.00947342;0.0740918;0.0278587;162.26;1
128;142;0.0176946;0.0991166;0.0248442;180.09;1
128;164;0.00911283;0.0650041;0.0205367;212.74;1
129;128;0.00489014;0.0292388;0.0244841;225.74;1
129;399;0.0189658;0.0973849;0.0559229;249.6;1
130;179;0.0000001;0.025;0;99999;1
130;294;0.0131769;0.082029;0.0245782;185.8;1
131;116;0.00549552;0.0341954;0.0146232;201.28;1
132;93;0.00992821;0.0644466;0.0264679;208.47;1
132;133;0.00732507;0.0373195;0.0248695;232.81;1
134;136;0.0102307;0.0477176;0.0187308;207.6;1
135;137;0.000229847;0.00116435;0;99999;1
135;422;0.00235893;0.024726;0.469035;1189.63;1
136;241;0.0112916;0.0732581;0.0317038;214.72;1
136;269;0.0071981;0.0545129;0.0288407;260.65;1
136;269;0.0071981;0.0545129;0.0288407;260.65;0
138;267;0.0137642;0.0640674;0.014872;191.13;1
139;266;0.00742239;0.0413065;0.0163907;235.23;1
139;436;0.0061483;0.0314653;0.0353002;285.59;1
140;141;0.00437587;0.0295663;0.00682313;226.66;1
141;149;0.00858313;0.0511386;0.0129799;237.21;1
141;154;0.00987958;0.0590507;0.0246559;232.93;1
141;165;0.00346348;0.0216104;0.0227149;189.3;1
141;166;0.00092095;0.00500518;0.0187787;262.31;1
141;166;0.00092095;0.00500518;0.0187787;262.31;1
141;436;0.00495754;0.0288767;0.0446069;306.09;1
141;436;0.00495754;0.0288767;0.0446069;306.09;1
141;436;0.00495754;0.0288767;0.0446069;306.09;1
142;366;0.0117749;0.0695592;0.0171149;206.18;1
143;89;0.00782994;0.0336108;0.0263321;214.33;1
144;14;0.00900802;0.0615875;0.019763;203.73;1
144;270;0.0161384;0.0861978;0.0309127;220.79;1
145;3;0.00353908;0.0187394;0.0133873;213.82;1
145;32;0.00592829;0.0364587;0.0146815;203.9;1
146;147;0.00508514;0.0390637;0.0127711;228.21;1
147;148;0.0054055;0.0355367;0.00942939;247.66;1
148;146;0.00539343;0.0250755;0.015923;211;1
148;166;0.00477032;0.0295611;0.0527909;261.82;1
148;166;0.00477032;0.0295611;0.0527909;261.82;1
149;146;0.0128452;0.0364985;0.00708579;176.91;1
150;146;0.00573662;0.0370925;0.00906798;231.51;1
150;152;0.00272594;0.0179578;0.013011;264.24;1
150;152;0.00272594;0.0179578;0.013011;264.24;1
151;153;0.000216168;0.00101369;0;99999;1
151;309;0.00157454;0.0168171;0.474329;1273.32;1
151;429;0.00179475;0.0239725;0.307853;1129.32;1
151;435;0.00133646;0.0166752;0.333178;1140.95;1
152;155;0.00812632;0.0501842;0.00786791;218.33;1
154;152;0.00278017;0.0178012;0.00801273;253.55;1
154;198;0.00444159;0.0216831;0.0136503;230.23;1
155;154;0.00384809;0.0206545;0.00841861;204.11;1
157;158;0.00833276;0.0618383;0.0168817;189.98;1
158;93;0.0150498;0.0753739;0.0264057;237.8;1
159;404;0.00958039;0.0443493;0.0256151;189.56;1
160;215;0.00639018;0.0378575;0.0183732;276.26;1
160;215;0.00639018;0.0378575;0.0183732;276.26;1
160;455;0.00570318;0.0279867;0.0107857;286.46;1
160;455;0.00570318;0.0279867;0.0107857;286.46;1
160;455;0.00570318;0.0279867;0.0107857;286.46;1
163;271;0.0114438;0.0436005;0.0346998;179.05;1
163;373;0.0118044;0.070336;0.0200369;297.95;1
164;248;0.0166592;0.0789746;0.0332218;180.39;1
165;83;0.00626026;0.0354394;0.0366867;234.49;1
166;140;0.00731424;0.0226116;0.00854781;225.55;1
167;57;0.010917;0.0509877;0.02854;235.27;1
167;237;0.00858763;0.0514933;0.0327973;277.5;1
167;308;0.015381;0.105892;0.094777;137.16;1
169;294;0.0159265;0.106886;0.0530111;360.35;1
170;279;0.00303492;0.0181342;0.00534882;241.25;1
171;174;0.00224797;0.011615;0.0142829;208.34;1
171;175;0.00496535;0.0237746;0.00763631;179.76;1
171;178;0.00957175;0.0508253;0.010821;280.01;1
171;178;0.00957175;0.0508253;0.010821;280.01;1
171;232;0.00222237;0.0159047;0.0600656;396.42;1
171;232;0.00222237;0.0159047;0.0600656;396.42;1
171;279;0.0109431;0.0419533;0.0211437;210.57;1
172;173;0.00554268;0.0252059;0.011282;208.34;1
174;170;0.00383353;0.0223464;0.0194664;192.65;1
174;495;0.00535203;0.0300593;0.0221523;228.14;1
175;234;0.00354887;0.0176835;0.0203663;183.22;1
175;495;0.001843;0.011985;0.004183;280;1
176;177;0.00359841;0.0241809;0.0123395;202.57;1
176;244;0.00628574;0.034737;0.0187055;300;1
177;173;0.00402863;0.0256745;0.0229296;178.8;1
177;491;0.00752468;0.0520976;0.0339664;216.78;1
178;177;0.00535238;0.0363989;0.00997157;225.46;1
180;63;0.00890202;0.0408484;0.0196852;260.07;1
180;63;0.00890202;0.0408484;0.0196852;260.07;1
181;168;0.0097017;0.0576871;0.0204621;222.72;1
181;180;0.00440478;0.0242077;0.0283171;247.75;1
182;185;0.00171453;0.00889045;0.0238406;398.72;1
183;193;0.00524827;0.0315915;0.0127134;194.36;1
183;348;0.00555018;0.0391876;0.0158808;245.54;1
184;187;0.00220879;0.0126244;0.0239407;169.83;1
184;191;0.00478016;0.0306107;0.0103495;239.33;1
185;187;0.00395185;0.0294432;0.00874079;296.9;1
186;184;0.00543965;0.035961;0.00847875;198.79;1
186;191;0.00711793;0.0407855;0.0196479;238.6;1
186;250;0.0104701;0.0582718;0.048083;207.78;1
187;191;0.00844667;0.0413005;0.0180251;229.27;1
189;188;0.00571546;0.0332658;0.0128996;234.79;1
190;25;0.00209646;0.0245254;0.404187;990.64;1
190;97;0.00317752;0.0363667;1.1004;1250.08;1
190;192;0.000222942;0.00103575;0;99999;1
190;349;0.000908512;0.0109152;0.338099;1151.32;1
191;188;0.00296045;0.024531;0.0147562;270.38;1
193;189;0.00178101;0.01297;0.0176216;211.99;1
194;251;0.00320622;0.0167087;0.0270856;203.61;1
195;133;0.00525408;0.0402405;0.015266;243.41;1
196;112;0.00489394;0.0289436;0.0102925;204.1;1
196;247;0.00697417;0.0300478;0.0407165;202.16;1
197;157;0.00801611;0.0516806;0.012499;215.69;1
198;246;0.00525429;0.0413684;0.0226617;206.22;1
199;200;0.0105279;0.0441567;0.00913296;175.31;1
199;253;0.00802037;0.0312808;0.0240349;229.5;1
201;251;0.00693842;0.039204;0.016375;195.17;1
202;17;0.00698383;0.0389556;0.0204675;212.55;1
202;56;0.00783489;0.0459576;0.0268466;225.33;1
202;201;0.00386324;0.0244623;0.0327491;214.07;1
203;315;0.0103589;0.0592801;0.0362542;233.29;1
204;28;0.00794312;0.0448473;0.0182823;234.14;1
204;315;0.00244174;0.0174811;0.0619636;285.99;1
205;12;0.00840117;0.0498614;0.0388297;215.93;1
207;148;0.0053507;0.0312066;0.0405506;203.6;1
207;152;0.00615042;0.0311668;0.0339339;242.73;1
208;162;0.00898155;0.0568121;0.0134563;212.29;1
208;209;0.00627626;0.0374794;0.0230329;183.56;1
209;13;0.00943909;0.0454807;0.0169332;217.38;1
209;14;0.00570445;0.0270742;0.030888;317.31;1
209;455;0.00840723;0.0448826;0.00717159;278.5;1
209;455;0.00840723;0.0448826;0.00717159;293.27;1
210;1;0.0152392;0.0698575;0.0274213;240.59;1
210;89;0.00397244;0.0264208;0.0601697;281.44;1
210;89;0.00397244;0.0264208;0.0601697;281.44;1
211;210;0.00758494;0.044758;0.0124403;253.6;1
212;447;0.00178893;0.0102128;0.00484733;258.64;1
213;214;0.0037451;0.0228728;0.00968813;225.25;1
215;251;0.0117409;0.0605448;0.0286688;263.99;1
215;251;0.0117409;0.0605448;0.0286688;263.99;1
216;194;0.00578304;0.0374928;0.0192971;210.35;1
216;441;0.00312727;0.0208103;0.0063307;240.31;1
217;421;0.00241219;0.0167;0.00633253;201.29;1
218;219;0.00857311;0.0551647;0.00894048;230.47;1
218;382;0.0100784;0.0375967;0.026455;258.56;1
220;315;0.00355893;0.0263302;0.0300112;205.61;1
221;123;0.0104335;0.060538;0.0170116;229.04;1
221;156;0.0117053;0.0572478;0.018905;203.37;1
222;42;0.00411476;0.0259096;0.0187635;249.24;1
223;224;0.00588657;0.037647;0.0212807;231.09;1
223;277;0.00714704;0.0436408;0.0180894;185.01;1
224;377;0.00785703;0.0528241;0.0173832;282.56;1
225;134;0.0197772;0.0945552;0.0218207;171.8;1
225;230;0.0136298;0.0724565;0.0137919;189.22;1
226;127;0.00636651;0.039434;0.0364845;228.48;1
227;304;0.0209617;0.0768189;0.0265371;223.43;1
228;77;0.0100973;0.0519099;0.0122713;200.25;1
230;261;0.0117979;0.051572;0.0271212;208.52;1
231;233;0.000254732;0.00110199;0;99999;1
231;278;0.00109778;0.0135445;0.17031;1115.46;1
232;94;0.00860686;0.0347308;0.0220854;246.21;1
232;234;0.00531952;0.0318575;0.00762114;235.64;1
232;296;0.00549162;0.0301785;0.0225615;478.99;1
232;296;0.00549162;0.0301785;0.0225615;478.99;1
232;495;0.00447264;0.0252841;0.0147161;209.35;1
234;94;0.00271156;0.0161032;0.0160785;230.93;1
235;306;0.00812201;0.0472273;0.0137623;218.26;1
237;238;0.00606403;0.0337143;0.0236608;323.04;1
238;359;0.0073114;0.0365176;0.0280548;276.53;1
238;359;0.0073114;0.0365176;0.0280548;276.53;1
239;67;0.0158524;0.108623;0.0182117;223.35;1
239;172;0.00344576;0.0203593;0.00970442;240.06;1
240;88;0.0134858;0.0625222;0.0111221;216.49;1
240;126;0.0118939;0.0722295;0.0232966;187.85;1
242;243;0.0138258;0.0785427;0.0193021;174.9;1
243;160;0.0086236;0.0391769;0.0275199;239.47;1
244;279;0.0158341;0.0518919;0.0125865;249.79;1
244;491;0.00321432;0.0232783;0.00727573;216.6;1
246;140;0.00621165;0.0353944;0.0160529;232.44;1
247;133;0.0000001;0.059;0;99999;1
247;387;0.0108557;0.0767928;0.00935552;221.11;1
248;60;0.00948303;0.0543826;0.00864013;219.42;1
249;248;0.00655432;0.0433484;0.0154156;199.4;1
250;249;0.00370925;0.0227163;0.0361231;191.18;1
251;222;0.00450654;0.0273755;0.0272315;217.96;1
252;254;0.000254254;0.00117123;0;99999;1
252;322;0.00190519;0.0220599;0.46598;1234.69;1
252;360;0.00165756;0.0183628;0.575877;1049.65;1
253;257;0.00690278;0.0371656;0.00999364;213.65;1
253;258;0.0022007;0.0115699;0.0118217;337.84;1
255;253;0.00516962;0.0285994;0.0136688;196.82;1
255;259;0.00467484;0.0315177;0.00583298;206.03;1
256;127;0.00734213;0.0428733;0.0498711;212.82;1
256;199;0.0000001;0.015;0;99999;1
256;253;0.00747521;0.0427513;0.00938328;252.48;1
257;258;0.00282706;0.0184683;0.00637348;188.97;1
258;272;0.007864;0.0492936;0.0167299;190.07;1
259;258;0.00148757;0.00886864;0.0686171;197.62;1
260;110;0.00555265;0.0279208;0.0170557;190.3;1
261;260;0.0117845;0.048387;0.0124691;272.4;1
262;26;0.00797486;0.0413554;0.0171391;244.94;1
263;262;0.00618428;0.0306474;0.0903401;222.96;1
264;323;0.00990689;0.0580426;0.0280558;196.84;1
265;61;0.0000001;0.022;0;99999;1
265;118;0.00976468;0.0452648;0.0320573;221.71;1
265;120;0.0113284;0.0599862;0.0119444;237.22;1
266;74;0.00944802;0.0474177;0.0209204;259.64;1
266;74;0.00944802;0.0474177;0.0209204;259.64;1
269;109;0.0130023;0.0648244;0.022019;244.74;1
269;197;0.00808209;0.0541968;0.0230938;233.48;1
269;241;0.0151243;0.102255;0.038663;190.5;1
270;304;0.0111556;0.0838027;0.0209195;234.42;1
271;85;0.0112375;0.075637;0.0227131;207.06;1
279;445;0.00857919;0.038751;0.0197652;252.98;1
282;290;0.000238243;0.00100208;0;99999;1
283;182;0.00522151;0.0291578;0.0319451;269.35;1
283;182;0.00522151;0.0291578;0.0319451;269.35;1
283;224;0.00647754;0.0329659;0.0188678;216.41;1
283;346;0.00496981;0.033752;0.0141005;215.7;1
283;359;0.0112807;0.0610502;0.0246742;189.35;1
290;336;0.000546967;0.00661487;0.319239;1013.91;1
290;397;0.00156589;0.0197034;0.584176;1362.72;1
291;227;0.0102001;0.0550615;0.0399772;217.52;1
291;293;0.000277674;0.00113775;0;99999;1
291;486;0.00862536;0.0467738;0.0409467;304.26;1
295;231;0.00041405;0.00459194;0.176305;1264.39;1
295;389;0.000842003;0.0109231;0.255562;1124.85;1
303;305;0.000216238;0.00116227;0;99999;1
305;454;0.00147007;0.0161904;0.455797;1120.02;1
306;236;0.00909647;0.0443105;0.0204446;213.5;1
307;308;0.000243783;0.00101928;0;99999;1
309;429;0.000524347;0.00641311;0.12507;1443.34;1
309;429;0.000524347;0.00641311;0.12507;1443.34;1
309;435;0.00057789;0.00773113;0.111558;1749.02;1
314;460;0.00284337;0.03353;0.530692;1090.95;1
315;486;0.000891366;0.00620047;0.00357338;270.45;1
315;488;0.000846838;0.00524732;0.00176077;273.93;1
322;360;0.00392073;0.0457192;0.876636;1081.89;1
330;331;0.000262545;0.00107587;0;99999;1
332;121;0.00159428;0.0205853;0.327303;1048.75;1
332;454;0.00146382;0.017945;0.410634;1077.53;1
333;123;0.00408968;0.0210445;0.0525623;275.7;1
333;124;0.00233389;0.0131293;0.00626889;260.97;1
333;124;0.00233389;0.0131293;0.00626889;260.97;1
336;397;0.00139177;0.0169482;0.23371;1419.82;1
337;359;0.00748705;0.0468268;0.0433188;243.37;1
342;130;0.0147359;0.0812897;0.0247527;221.08;1
342;294;0.000364389;0.00264717;0.00871279;268.04;1
342;294;0.000364389;0.00264717;0.00871279;268.04;1
346;182;0.0060196;0.0328492;0.0116299;210.47;1
347;349;0.000269385;0.00117548;0;99999;1
348;277;0.00302296;0.0175156;0.00468744;191.83;1
349;397;0.00142692;0.0184016;0.321924;1161.07;1
350;332;0.00153637;0.019112;0.448199;1164.99;1
350;352;0.000205522;0.00104958;0;99999;1
350;429;0.00176299;0.024221;0.504029;1225.53;1
350;435;0.00161779;0.0220227;0.472836;1231.82;1
351;15;0.00570042;0.038097;0.0166404;297.73;1
351;331;0.00799383;0.0592914;0.0117197;265.07;1
351;331;0.00799383;0.0592914;0.0117197;265.07;1
353;355;0.000218687;0.00118004;0;99999;1
355;342;0.00596794;0.0411946;0.0460902;257.41;1
355;390;0.000438285;0.0025026;0.0028364;192.83;1
356;467;0.00171289;0.00892976;0.00401818;191.82;1
357;480;0.00280056;0.0134351;0.00332662;291.7;1
357;480;0.00280056;0.0134351;0.00332662;291.7;1
357;480;0.00280056;0.0134351;0.00332662;291.7;1
358;268;0.00785076;0.0476886;0.0169176;233.04;1
358;467;0.00692768;0.0315186;0.0129906;181.78;1
359;366;0.0068981;0.0402096;0.0127396;196.5;1
359;377;0.012625;0.0936918;0.0239153;228.99;1
359;473;0.00222543;0.0129046;0.00606894;247.89;1
360;54;0.00100276;0.0120556;0.249915;1072.37;1
361;34;0.00379348;0.0202895;0.0219664;316.83;1
361;34;0.00379348;0.0202895;0.0219664;316.83;1
370;373;0.000225361;0.00114438;0;99999;1
373;323;0.000257772;0.00169688;0.00189708;244.33;1
374;376;0.000205616;0.00119869;0;99999;1
376;117;0.00565957;0.0367338;0.0198822;223.49;1
377;337;0.00166037;0.0118851;0.00793188;278.49;1
382;383;0.000298548;0.00105538;0;99999;1
382;385;0.00189251;0.0109271;0.00841737;224.14;1
382;488;0.00459748;0.0199241;0.0423444;255.31;1
384;385;0.000259286;0.00110193;0;99999;1
385;421;0.00389512;0.0241239;0.00906982;220.32;1
386;388;0.000221284;0.00109415;0;99999;1
387;229;0.0115492;0.0573315;0.0138829;235.12;1
388;309;0.000885474;0.00873812;0.148563;1045.47;1
389;414;0.000913429;0.0104943;0.16381;1144.19;1
395;397;0.000264513;0.0010891;0;99999;1
397;54;0.001546;0.019078;0.340158;1607.07;1
397;479;0.000739667;0.00965056;0.222224;1676.94;1
398;260;0.00417165;0.0304097;0.0208194;248.85;1
398;423;0.000966411;0.0049338;0.00267166;194.66;1
399;12;0.00224359;0.0129772;0.00657691;213.75;1
399;500;0.00366597;0.0159435;0.00462133;200.82;1
400;403;0.00021407;0.00105349;0;99999;1
403;390;0.00390505;0.016682;0.00889956;187.66;1
403;415;0.0108099;0.0598869;0.0150022;238.84;1
404;396;0.00812376;0.0533399;0.0183921;259.18;1
405;190;0.003084;0.0385355;0.635924;1182.98;1
406;399;0.00202341;0.00976371;0.00208054;268.98;1
406;399;0.00202341;0.00976371;0.00208054;268.98;1
406;500;0.00468402;0.0252229;0.00876131;194.96;1
413;168;0.0101345;0.0604995;0.0233408;160.34;1
413;272;0.00891228;0.053729;0.0131931;204.57;1
415;21;0.0000001;0.05;0;99999;1
422;388;0.00142425;0.0173547;0.26896;1073.12;1
429;498;0.00296972;0.031295;0.492416;1280.79;1
430;81;0.00192456;0.0121334;0.00727771;300;1
430;84;0.00448199;0.0263734;0.0203741;279.98;0
430;84;0.00448199;0.0263734;0.0203741;279.98;1
435;429;0.000293616;0.00373016;0.0483406;1120.52;1
436;83;0.00278136;0.0150291;0.00518546;226.04;1
436;430;0.00463186;0.0213539;0.0107223;288.88;1
442;445;0.000221289;0.00117614;0;99999;1
