BUS;P_MAX;P_MIN;Q_MAX;Q_MIN;status;P_COSTE0;P_COSTE1;P_COSTE2
378;231.775;65.628;117.973;-25.727;1;-1.954;19.43;0.01743
379;231.775;66.661;117.973;-25.727;1;-2.296;20.52;0.02033
380;231.775;31.037;117.973;-25.727;1;-1.818;17.81;0.02259
381;231.775;113.618;117.973;-25.727;1;-2.093;21.09;0.014
382;7.4;3.554;2.842;-0.363;0;0;30;0
382;7.4;2.925;2.842;-0.363;1;0;30;0
382;7.4;0.878;2.842;-0.363;1;0;30;0
382;7.4;2.193;2.842;-0.363;1;0;30;0
384;15;5.179;5.76;-0.735;0;0;30;0
384;15;7.335;5.76;-0.735;1;0;30;0
384;15;3.146;5.76;-0.735;1;0;30;0
384;15;2.378;5.76;-0.735;1;0;30;0
386;67.333;27.475;25.856;-3.299;1;0;30;0
386;67.333;30.139;25.856;-3.299;1;0;30;0
386;67.333;11.032;25.856;-3.299;1;0;30;0
386;67.333;25.208;25.856;-3.299;1;0;30;0
386;67.333;12.595;25.856;-3.299;1;0;30;0
386;67.333;7.468;25.856;-3.299;0;0;30;0
391;141.5;37.246;72.023;-15.707;1;-1.077;15.85;0.01632
392;141.5;45.823;72.023;-15.707;0;-1.051;17.2;0.01435
393;141.5;59.806;72.023;-15.707;0;-1.112;16.85;0.01315
394;141.5;46.001;72.023;-15.707;0;-1.131;18.81;0.01543
395;29.5;8.66;11.328;-1.445;1;0;30;0
395;29.5;14.002;11.328;-1.445;1;0;30;0
396;29.5;14.604;11.328;-1.445;1;0;30;0
396;29.5;7.512;11.328;-1.445;1;0;30;0
396;29.5;6.181;11.328;-1.445;1;0;30;0
396;29.5;13.848;11.328;-1.445;1;0;30;0
398;79.333;28.412;40.381;-8.806;1;-22.78;18.6;0
398;79.333;26.903;40.381;-8.806;1;-20.94;16.85;0
398;79.333;17.147;40.381;-8.806;1;-18.24;17.23;0
398;79.333;18.276;40.381;-8.806;1;-21.24;18.16;0
398;79.333;31.607;40.381;-8.806;1;0;17.98;0
398;79.333;27.502;40.381;-8.806;1;-25.38;18.59;0
399;1.5;0.226;0.576;-0.074;1;0;30;0
399;1.5;0.589;0.576;-0.074;0;0;30;0
401;61.25;22.338;31.176;-6.799;0;-13.65;17.74;0
402;61.25;23.864;31.176;-6.799;1;0;14.55;0
404;42.5;19.52;16.32;-2.083;1;0;30;0
404;42.5;15.533;16.32;-2.083;1;0;30;0
404;42.5;13.013;16.32;-2.083;1;0;30;0
404;42.5;12.661;16.32;-2.083;1;0;30;0
407;109;18.987;55.481;-12.099;1;-39.95;17.44;0
408;109;14.731;55.481;-12.099;1;-39.85;17.68;0
409;109;32.57;55.481;-12.099;1;-51.69;16.67;0
410;109;22.306;55.481;-12.099;1;-40.04;17.29;0
411;109;14.143;55.481;-12.099;1;-38.62;15.92;0
412;109;23.483;55.481;-12.099;1;0;18.55;0.01782
413;53.9;11.654;20.698;-2.641;1;0;30;0
416;354.14;67.963;165.029;-43.205;0;-9.988;36.3;0.07006
417;354.14;131.174;165.029;-43.205;1;-8.58;36.45;0.04361
418;354.14;149.645;165.029;-43.205;0;-10.24;45.53;0.04884
419;354.14;56.643;165.029;-43.205;1;-10.19;35.22;0.07723
420;354.14;67.901;165.029;-43.205;1;-8.31;32.24;0.05828
421;51.5;24.828;26.213;-5.717;0;0;17.32;0
421;51.5;23.937;26.213;-5.717;1;0;14.96;0
424;270;112.797;125.82;-32.94;1;-5.101;35.55;0.0321
425;270;87.627;125.82;-32.94;0;-6.358;32.6;0.04544
426;270;102.816;125.82;-32.94;1;-7.503;38.76;0.04928
427;270;99.844;125.82;-32.94;1;-6.166;33.74;0.04114
428;270;67.953;125.82;-32.94;0;-6.78;35.86;0.05504
431;225;54.19;114.525;-24.975;1;-2.36;19.96;0.02348
432;225;108.754;114.525;-24.975;1;-1.451;18.25;0.01009
433;225;75.67;114.525;-24.975;1;-1.93;16.86;0.01625
434;225;89.064;114.525;-24.975;1;-1.999;20.59;0.01542
437;225.6;110.17;114.83;-25.042;0;-1.74;20.42;0.01198
438;225.6;58.277;114.83;-25.042;0;-2.514;21.75;0.02412
439;225.6;90.164;114.83;-25.042;1;-2.333;20.6;0.01786
440;225.6;31.8;114.83;-25.042;1;-2.102;19.18;0.02627
441;42.7;11.334;16.397;-2.092;1;0;30;0
441;42.7;17.876;16.397;-2.092;1;0;30;0
441;42.7;15.695;16.397;-2.092;1;0;30;0
443;3;1.43;1.527;-0.333;0;0;15.73;0
443;3;0.466;1.527;-0.333;0;0;17.87;0
444;3;1.141;1.527;-0.333;1;0;16.44;0
444;3;1.295;1.527;-0.333;0;0;14.92;0
448;283.34;129.582;132.036;-34.567;1;-6.309;38.03;0.03595
449;283.34;137.75;132.036;-34.567;1;-6.071;42.34;0.0334
450;283.34;113.319;132.036;-34.567;1;-5.768;36.39;0.03545
451;283.34;84.208;132.036;-34.567;1;-7.519;36.26;0.05358
452;283.34;66.152;132.036;-34.567;1;-6.279;31.34;0.05034
453;24.3;11.536;9.331;-1.191;0;0;30;0
453;24.3;10.913;9.331;-1.191;1;0;30;0
453;24.3;9.205;9.331;-1.191;1;0;30;0
456;187;76.093;95.183;-20.757;1;-1.455;15.42;0.01329
457;187;45.01;95.183;-20.757;1;-1.762;18.78;0.02109
458;187;30.393;95.183;-20.757;1;-1.379;16.67;0.01965
459;187;76.131;95.183;-20.757;1;-1.494;18.54;0.01365
462;274.267;109.757;139.602;-30.444;1;-2.414;21.78;0.01531
463;274.267;78.369;139.602;-30.444;1;-2.541;17.54;0.01908
464;274.267;58.535;139.602;-30.444;0;-2.536;19.74;0.02191
466;25.25;10.571;9.696;-1.237;1;0;30;0
466;25.25;5.746;9.696;-1.237;1;0;30;0
470;562.5;183.095;262.125;-68.625;1;-16.98;47.18;0.05819
471;562.5;90.746;262.125;-68.625;1;-16.91;36.88;0.0804
472;24.5;7.711;12.471;-2.719;1;-1.439;14.25;0
472;24.5;10.439;12.471;-2.719;1;0;14.75;0
475;29.2;9.221;11.213;-1.431;0;0;30;0
475;29.2;4.224;11.213;-1.431;1;0;30;0
476;29.2;13.934;11.213;-1.431;1;0;30;0
478;49.3;19.901;25.094;-5.472;1;0;17.32;0
478;49.3;19.103;25.094;-5.472;1;0;14.83;0
481;402.56;154.153;187.593;-49.112;0;-12.76;44.51;0.05605
482;402.56;86.185;187.593;-49.112;0;-9.818;31.87;0.05767
483;402.56;189.085;187.593;-49.112;1;-14.66;64.55;0.0579
484;402.56;113.904;187.593;-49.112;1;-14.62;45.63;0.07515
485;402.56;56.892;187.593;-49.112;0;-11.34;34.57;0.07938
486;28.833;3.64;11.072;-1.413;1;0;30;0
486;28.833;12.556;11.072;-1.413;1;0;30;0
486;28.833;13.66;11.072;-1.413;0;0;30;0
486;28.833;6.724;11.072;-1.413;1;0;30;0
486;28.833;6.272;11.072;-1.413;0;0;30;0
486;28.833;9.476;11.072;-1.413;1;0;30;0
487;12.5;3.668;6.363;-1.388;1;0;14.68;0
488;6.433;0.856;2.47;-0.315;1;0;30;0
488;6.433;2.367;2.47;-0.315;1;0;30;0
488;6.433;2.765;2.47;-0.315;1;0;30;0
488;6.433;2.727;2.47;-0.315;1;0;30;0
488;6.433;1.296;2.47;-0.315;1;0;30;0
488;6.433;1.272;2.47;-0.315;1;0;30;0
489;1.433;0.289;0.668;-0.175;1;0;30;0
489;1.433;0.26;0.668;-0.175;1;0;30;0
489;1.433;0.481;0.668;-0.175;1;0;30;0
489;1.433;0.584;0.668;-0.175;1;0;30;0
489;1.433;0.486;0.668;-0.175;1;0;30;0
489;1.433;0.661;0.668;-0.175;1;0;30;0
490;3.4;1.129;1.731;-0.377;0;0;16.55;0
493;140;41.066;71.26;-15.54;1;0;16.74;0.01265
494;140;38.903;71.26;-15.54;1;0;14.88;0.01144
496;90.5;9.801;34.752;-4.434;1;0;30;0
496;90.5;35.51;34.752;-4.434;1;0;30;0
499;1.733;0.642;0.666;-0.085;1;0;30;0
499;1.733;0.45;0.666;-0.085;1;0;30;0
499;1.733;0.806;0.666;-0.085;1;0;30;0
