BUS;PD;QD;Vmax;Vmin;baseKV;zone
52;0;0;1.1;0.9;13.8;6
53;0;0;1.1;0.9;13.8;6
54;2.66;0.76;1.1;0.9;115;4
55;0;0;1.1;0.9;230;7
56;1.31;0.37;1.1;0.9;115;7
57;2.82;0.8;1.1;0.9;115;4
58;4.23;1.21;1.1;0.9;115;7
59;4.73;1.35;1.1;0.9;115;2
60;3.8;1.08;1.1;0.9;115;2
61;20.55;5.86;1.1;0.9;115;7
62;21.41;6.1;1.1;0.9;115;4
63;7.98;2.27;1.1;0.9;115;4
64;0;0;1.1;0.9;115;6
65;0;0;1.1;0.9;13.8;6
66;0;0;1.1;0.9;115;4
67;0;0;1.1;0.9;13.8;4
68;0;0;1.1;0.9;13.8;4
69;0;0;1.1;0.9;13.8;4
70;0;0;1.1;0.9;13.8;4
71;0;0;1.1;0.9;13.8;4
72;0;0;1.1;0.9;13.8;4
73;0;0;1.1;0.9;13.8;4
74;18.76;5.35;1.1;0.9;115;6
75;3.6;1.03;1.1;0.9;115;2
76;0;0;1.1;0.9;13.8;2
77;0;0;1.1;0.9;13.8;2
78;0;0;1.1;0.9;13.8;2
79;0;0;1.1;0.9;13.8;2
80;1.48;0.42;1.1;0.9;115;5
81;0;0;1.1;0.9;230;6
82;7.6;2.17;1.1;0.9;115;6
83;3.14;0.89;1.1;0.9;115;7
84;3.75;1.07;1.1;0.9;115;2
85;4.83;1.38;1.1;0.9;115;4
86;8.25;2.35;1.1;0.9;115;2
87;0;0;1.1;0.9;230;3
88;49.34;14.06;1.1;0.9;115;3
89;62.85;17.91;1.1;0.9;115;7
90;0;0;1.1;0.9;13.8;7
91;0;0;1.1;0.9;13.8;7
92;0;0;1.1;0.9;13.8;7
93;3.06;0.87;1.1;0.9;115;4
94;0;0;1.1;0.9;13.8;4
95;3;0.85;1.1;0.9;115;7
96;2.96;0.84;1.1;0.9;115;7
97;7.33;2.09;1.1;0.9;115;2
98;0;0;1.1;0.9;230;2
99;12.17;3.47;1.1;0.9;115;2
100;37.39;10.66;1.1;0.9;115;5
101;0.52;0.15;1.1;0.9;115;2
102;0;0;1.1;0.9;230;7
103;0;0;1.1;0.9;115;7
104;0;0;1.1;0.9;13.8;7
105;0;0;1.1;0.9;13.8;7
106;2.06;0.59;1.1;0.9;115;7
107;52.56;14.98;1.1;0.9;115;7
108;9.42;2.68;1.1;0.9;115;2
109;5.16;1.47;1.1;0.9;115;4
110;10.86;3.09;1.1;0.9;115;2
111;8.82;2.51;1.1;0.9;115;5
112;0;0;1.1;0.9;230;7
113;0;0;1.1;0.9;115;7
114;0;0;1.1;0.9;13.8;7
115;0;0;1.1;0.9;13.8;7
116;0;0;1.1;0.9;230;2
117;34.08;9.71;1.1;0.9;115;2
118;3.94;1.12;1.1;0.9;115;2
119;17.55;5;1.1;0.9;115;2
120;1.8;0.51;1.1;0.9;115;4
121;0;0;1.1;0.9;230;7
122;15.44;4.4;1.1;0.9;115;7
123;0;0;1.1;0.9;230;2
124;0;0;1.1;0.9;115;2
125;0;0;1.1;0.9;13.8;2
126;0;0;1.1;0.9;13.8;2
127;0;0;1.1;0.9;13.8;2
128;0;0;1.1;0.9;230;7
129;77.24;22.01;1.1;0.9;115;7
130;4.4;1.25;1.1;0.9;115;7
131;30.25;8.62;1.1;0.9;115;2
132;26.96;7.68;1.1;0.9;115;2
133;0;0;1.1;0.9;230;2
134;0;0;1.1;0.9;115;2
135;0;0;1.1;0.9;13.8;2
136;0;0;1.1;0.9;13.8;2
137;1.16;0.33;1.1;0.9;115;4
138;2.09;0.6;1.1;0.9;115;6
139;6.84;1.95;1.1;0.9;115;2
140;8.21;2.34;1.1;0.9;115;2
141;1.42;0.41;1.1;0.9;115;2
142;37.26;10.62;1.1;0.9;115;2
143;26.78;7.63;1.1;0.9;115;5
144;9.05;2.58;1.1;0.9;115;2
145;17.54;5;1.1;0.9;115;3
146;0;0;1.1;0.9;115;7
147;0;0;1.1;0.9;13.8;7
148;32.02;9.13;1.1;0.9;115;2
149;0;0;1.1;0.9;230;3
150;0;0;1.1;0.9;115;3
151;0;0;1.1;0.9;13.8;3
152;0;0;1.1;0.9;13.8;3
153;0;0;1.1;0.9;13.8;3
154;0;0;1.1;0.9;13.8;3
155;0;0;1.1;0.9;13.8;3
156;0;0;1.1;0.9;230;2
157;14.76;4.21;1.1;0.9;115;2
158;8.97;2.56;1.1;0.9;115;4
159;1.39;0.4;1.1;0.9;115;4
160;0;0;1.1;0.9;115;4
161;0;0;1.1;0.9;13.8;4
162;1.45;0.41;1.1;0.9;115;2
163;45.8;13.05;1.1;0.9;115;5
164;0;0;1.1;0.9;13.8;5
165;0;0;1.1;0.9;13.8;5
166;0;0;1.1;0.9;13.8;5
167;0;0;1.1;0.9;13.8;5
168;0;0;1.1;0.9;13.8;5
169;0;0;1.1;0.9;13.8;5
170;0;0;1.1;0.9;13.8;5
171;7.94;2.26;1.1;0.9;115;6
172;5.38;1.53;1.1;0.9;115;5
173;8.71;2.48;1.1;0.9;115;5
174;2.77;0.79;1.1;0.9;115;5
175;7.31;2.08;1.1;0.9;115;5
176;19.01;5.42;1.1;0.9;115;3
177;11.29;3.22;1.1;0.9;115;7
178;0;0;1.1;0.9;230;5
179;23.61;6.73;1.1;0.9;115;5
180;7.74;2.21;1.1;0.9;115;5
181;47.98;13.67;1.1;0.9;115;4
182;0;0;1.1;0.9;13.8;4
183;0;0;1.1;0.9;13.8;4
184;10.69;3.05;1.1;0.9;115;5
185;10.79;3.07;1.1;0.9;115;3
186;2.1;0.6;1.1;0.9;115;2
187;0;0;1.1;0.9;230;7
188;0;0;1.1;0.9;115;7
189;0;0;1.1;0.9;13.8;7
190;16.79;4.78;1.1;0.9;115;6
191;7.23;2.06;1.1;0.9;115;5
192;52.74;15.03;1.1;0.9;115;7
193;21.99;6.27;1.1;0.9;115;2
194;37.57;10.71;1.1;0.9;115;3
195;0;0;1.1;0.9;115;6
196;0;0;1.1;0.9;13.8;6
197;0;0;1.1;0.9;13.8;6
198;5.37;1.53;1.1;0.9;115;2
199;4.26;1.21;1.1;0.9;115;6
200;9.34;2.66;1.1;0.9;115;4
