bus;Pg;Qg;Qmax;Qmin;Vg;mBase;status;Pmax;Pmin;c2;c1;c0
163;62.95;0;24.04;-24.04;1;100;1;100;25.9;0;36.83336;0
165;57.115;0;22.31;-22.31;1;100;1;100;14.23;0;30.147327;0
166;500;0;122.95;-122.95;1;800;1;800;200;0;33.410756;0
167;500;0;122.95;-122.95;1;800;1;800;200;0;36.105149;0
168;500;0;122.95;-122.95;1;800;1;800;200;0;27.887633;0
169;500;0;122.95;-122.95;1;800;1;800;200;0;42.81106;0
176;450;0;121.64;-121.64;1;700;1;700;200;0;30.887733;0
179;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;27.64235;0
180;128.04;0;28.32;-28.32;1;200;1;200;56.08;0;18.299407;0
182;350;0;86.91;-86.91;1;600;1;600;100;0;22.81428;0
185;53.59;0;15.59;-15.59;1;100;1;100;7.18;0;36.112918;0
187;450;0;121.64;-121.64;1;700;1;700;200;0;25.274362;0
188;450;0;121.64;-121.64;1;700;1;700;200;0;23.390264;0
189;450;0;121.64;-121.64;1;700;1;700;200;0;36.433389;0
194;144;0;75.98;-75.98;1;100;1;288;0;0;35.597394;0
202;0;0;33.33;-33.33;1;100;0;74.68;59.68;0;127.172409;0
204;350;0;86.91;-86.91;1;600;1;600;100;0;18.62204;0
210;56.3;0;18.22;-18.22;1;100;1;100;12.6;0;29.688407;0
213;56.8;0;19.22;-19.22;1;100;1;100;13.6;0;27.030293;0
216;309.775;0;500;-500;1;100;1;371.73;247.82;0;36.074926;0
224;56.795;0;22.36;-22.36;1;100;1;100;13.59;0;31.049528;0
227;132;0;440.92;-440.92;1;100;1;264;0;0;40.352684;0
227;322.3;0;500;-500;1;100;1;386.76;257.84;0;22.113213;0
229;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;41.474272;0
230;59.125;0;24.93;-24.93;1;100;1;100;18.25;0;18.68665;0
232;57.455;0;22.3;-22.3;1;100;1;100;14.91;0;37.654512;0
237;199.31;0;16.42;-16.42;1;300;1;300;98.62;0;44.694347;0
238;57.625;0;22.17;-22.17;1;100;1;100;15.25;0;50.574656;0
239;500;96.235;195;-2.53;1;800;1;800;200;0;26.589708;0
242;45.44;0;500;-500;1;100;1;59.84;31.04;0;123.137974;0
244;0;0;33.33;-33.33;1;100;0;400.96;385.96;0;30.95793;0
247;13.49;0;500;-500;1;100;1;26.39;0.59;0;54.576482;0
248;337.55;0;500;-500;1;100;1;405.06;270.04;0;47.210091;0
255;59.125;0;24.93;-24.93;1;100;1;100;18.25;0;24.59326;0
256;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;42.926155;0
258;57.455;0;22.3;-22.3;1;100;1;100;14.91;0;36.093637;0
261;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;34.335218;0
269;56.795;0;22.36;-22.36;1;100;1;100;13.59;0;37.01325;0
270;500;95.235;193;-2.53;1;800;1;800;200;0;33.808341;0
273;57.625;0;22.17;-22.17;1;100;1;100;15.25;0;41.276018;0
279;60.45;0;34.68;-34.68;1;100;1;100;20.9;0;35.799907;0
280;58.405;0;36.4;-36.4;1;100;1;100;16.81;0;22.946272;0
284;291.705;0;500;-500;1;100;1;391.25;192.16;0;21.111529;0
289;57.425;0;21.85;-21.85;1;100;1;100;14.85;0;49.840539;0
292;57.425;0;48.87;-48.87;1;100;1;100;14.85;0;40.047328;0
293;57.425;0;48.87;-48.87;1;100;1;100;14.85;0;40.200939;0
295;60.45;0;34.68;-34.68;1;100;1;100;20.9;0;46.185017;0
300;58.935;0;29.48;-29.48;1;100;1;100;17.87;0;17.173776;0
301;58.935;0;29.48;-29.48;1;100;1;100;17.87;0;102.169631;0
302;139;0;204.62;-204.62;1;100;1;278;0;0;25.776803;0
302;1355.925;0;500;-500;1;100;1;1627.11;1084.74;0;21.547974;0
303;57.485;0;56.99;-56.99;1;100;1;100;14.97;0;30.728091;0
306;56.175;0;43.22;-43.22;1;100;1;100;12.35;0;36.335226;0
307;56.175;0;43.22;-43.22;1;100;1;100;12.35;0;35.818864;0
308;56.79;0;20.9;-20.9;1;100;1;100;13.58;0;38.054527;0
313;56.175;0;43.22;-43.22;1;100;1;100;12.35;0;27.151308;0
314;0;0;33.33;-33.33;1;100;0;82.53;67.53;0;115.321539;0
317;58.935;0;29.48;-29.48;1;100;1;100;17.87;0;40.606135;0
318;58.935;0;29.48;-29.48;1;100;1;100;17.87;0;109.596651;0
322;57.485;0;56.99;-56.99;1;100;1;100;14.97;0;45.466805;0
323;57.485;0;56.99;-56.99;1;100;1;100;14.97;0;27.408645;0
324;57.425;0;21.85;-21.85;1;100;1;100;14.85;0;23.664365;0
325;57.425;0;21.85;-21.85;1;100;1;100;14.85;0;31.685725;0
326;56.79;0;20.9;-20.9;1;100;1;100;13.58;0;31.046446;0
327;56.79;0;20.9;-20.9;1;100;1;100;13.58;0;43.133229;0
328;57.425;0;21.85;-21.85;1;100;1;100;14.85;0;34.074046;0
334;18.9;0;27.22;-27.22;1;100;1;37.8;0;0;36.965565;0
335;43.845;0;500;-500;1;100;1;54.65;33.04;0;28.653721;0
336;43.845;0;500;-500;1;100;1;54.65;33.04;0;36.061621;0
339;0;0;33.33;-33.33;1;100;0;32.91;17.91;0;113.738203;0
343;17.905;0;25.78;-25.78;1;100;1;35.81;0;0;110.459544;0
345;23.44;0;33.75;-33.75;1;100;1;46.88;0;0;52.896797;0
347;23.44;0;33.75;-33.75;1;100;1;46.88;0;0;45.969632;0
349;31.05;0;44.71;-44.71;1;100;1;62.1;0;0;40.423403;0
351;21.565;0;31.05;-31.05;1;100;1;43.13;0;0;32.205927;0
352;21.565;0;31.05;-31.05;1;100;1;43.13;0;0;48.363295;0
354;24.94;0;500;-500;1;100;1;39.69;10.19;0;10.33173;0
356;34.69;0;49.95;-49.95;1;100;1;69.38;0;0;42.207857;0
360;9.375;0;13.5;-13.5;1;100;1;18.75;0;0;43.528306;0
361;9.375;0;13.5;-13.5;1;100;1;18.75;0;0;20.831006;0
362;9.375;0;13.5;-13.5;1;100;1;18.75;0;0;43.297085;0
365;0;0;33.33;-33.33;1;100;0;43.67;28.67;0;24.932997;0
367;43.675;0;63.18;-63.18;1;100;1;87.35;0;0;29.943262;0
369;16.925;0;24.37;-24.37;1;100;1;33.85;0;0;111.273464;0
370;0;0;33.33;-33.33;1;100;0;40.14;25.14;0;115.893786;0
374;0;0;33.33;-33.33;1;100;0;26.22;11.22;0;122.245743;0
375;0;0;33.33;-33.33;1;100;0;269;8.5;0;30.444911;0
376;0;0;33.33;-33.33;1;100;0;34.71;19.71;0;28.400393;0
377;0;0;33.33;-33.33;1;100;0;87.2;72.2;0;48.47892;0
382;21.885;0;500;-500;1;100;1;42.77;1;0;38.391035;0
383;34.08;0;500;-500;1;100;1;49.67;18.49;0;38.530634;0
388;51.175;0;500;-500;1;100;1;95.57;6.78;0;33.950482;0
412;23.44;0;33.75;-33.75;1;100;1;46.88;0;0;36.916502;0
417;32.01;0;500;-500;1;100;1;41.74;22.28;0;49.999603;0
421;14.065;0;20.25;-20.25;1;100;1;28.13;0;0;109.615473;0
422;24.46;0;500;-500;1;100;1;33.5;15.42;0;29.31921;0
438;41.25;0;59.4;-59.4;1;100;1;82.5;0;0;51.496241;0
444;0;0;33.33;-33.33;1;100;0;261;0.96;0;32.858434;0
445;0;0;33.33;-33.33;1;100;0;88.57;73.57;0;27.988833;0
446;64.39;91.28;188;-5.44;1;100;1;100;28.78;0;53.621839;0
447;64.39;95.78;197;-5.44;1;100;1;100;28.78;0;29.943437;0
448;64.39;86.28;178;-5.44;1;100;1;100;28.78;0;37.282005;0
449;0;0;33.33;-33.33;1;100;0;88.88;73.87;0;33.149925;0
452;193.835;0;32.63;-32.63;1;300;1;300;87.67;0;9.550127;0
458;55.505;0;500;-500;1;100;1;108.04;2.97;0;51.520651;0
460;130;0;169.4;-169.4;1;100;1;260;0;0;31.285102;0
467;64.39;96.28;198;-5.44;1;100;1;100;28.78;0;40.238629;0
468;64.39;92.28;190;-5.44;1;100;1;100;28.78;0;37.058027;0
469;64.39;92.28;190;-5.44;1;100;1;100;28.78;0;25.550431;0
470;64.39;84.78;175;-5.44;1;100;1;100;28.78;0;42.819949;0
471;64.39;84.78;175;-5.44;1;100;1;100;28.78;0;49.936441;0
472;64.39;94.78;195;-5.44;1;100;1;100;28.78;0;123.00526;0
473;64.39;90.78;187;-5.44;1;100;1;100;28.78;0;27.554622;0
476;60.31;87.48;184;-9.04;1;100;1;100;20.62;0;49.702657;0
477;55.425;0;26.98;-26.98;1;100;1;100;10.85;0;38.120358;0
478;60.31;87.48;184;-9.04;1;100;1;100;20.62;0;28.348056;0
484;139.5;0;189.9;-189.9;1;100;1;279;0;0;16.674337;0
484;0;0;33.33;-33.33;1;100;0;256.22;241.22;0;34.566358;0
492;131.5;0;101.08;-101.08;1;100;1;263;0;0;32.917035;0
503;141.5;0;127.5;-127.5;1;100;1;283;0;0;32.866061;0
505;64.39;90.28;186;-5.44;1;100;1;100;28.78;0;29.628927;0
506;64.39;85.28;176;-5.44;1;100;1;100;28.78;0;52.38753;0
507;64.39;95.78;197;-5.44;1;100;1;100;28.78;0;18.461037;0
508;64.39;87.28;180;-5.44;1;100;1;100;28.78;0;11.180393;0
509;64.39;87.28;180;-5.44;1;100;1;100;28.78;0;24.316194;0
510;64.39;86.28;178;-5.44;1;100;1;100;28.78;0;27.890043;0
511;64.39;86.28;178;-5.44;1;100;1;100;28.78;0;42.831659;0
514;64.39;94.28;194;-5.44;1;100;1;100;28.78;0;36.344624;0
515;64.39;88.78;183;-5.44;1;100;1;100;28.78;0;49.968699;0
516;63.655;6;188;-176;1;100;1;100;27.31;0;55.901992;0
517;63.655;4.5;189;-180;1;100;1;100;27.31;0;29.703926;0
518;63.655;15.5;198;-167;1;100;1;100;27.31;0;23.887364;0
520;57.9;0;20.46;-20.46;1;100;1;100;15.8;0;14.12718;0
521;57.9;0;20.46;-20.46;1;100;1;100;15.8;0;16.539684;0
522;117.485;86.045;175;-2.91;1;200;1;200;34.97;0;52.20665;0
523;117.485;93.545;190;-2.91;1;200;1;200;34.97;0;21.568533;0
524;117.485;93.545;190;-2.91;1;200;1;200;34.97;0;23.031481;0
525;64.39;86.78;179;-5.44;1;100;1;100;28.78;0;45.224593;0
527;138;0;89.92;-89.92;1;100;1;276;0;0;28.776922;0
527;191.38;0;500;-500;1;100;1;240.2;142.56;0;59.20689;0
534;114.54;0;500;-500;1;100;1;211.64;17.44;0;23.999807;0
536;44.115;0;500;-500;1;100;1;86.35;1.88;0;117.241998;0
541;130;-16.555;132.44;-165.55;1;100;1;260;0;0;35.782588;0
562;0;0;33.33;-33.33;1;100;0;160.76;145.76;0;25.037674;0
564;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;33.660168;0
567;278.115;0;40.29;-40.29;1;400;1;415;141.23;0;30.843352;0
578;0;0;33.33;-33.33;1;100;0;200.76;185.77;0;30.205708;0
579;128.5;0;60.96;-60.96;1;100;1;257;0;0;35.327443;0
581;137;8.915;89.15;-71.32;1;100;1;274;0;0;38.419727;0
589;27.77;0;500;-500;1;100;1;41.8;13.74;0;52.278863;0
590;140;0;77.68;-77.68;1;100;1;280;0;0;23.831168;0
590;0;0;33.33;-33.33;1;100;0;96.24;81.24;0;35.55043;0
592;921.475;0;500;-500;1;100;1;1105.77;737.18;0;12.053451;0
594;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;37.389032;0
595;27.575;0;500;-500;1;100;1;41.89;13.26;0;24.649947;0
603;134;14.97;149.7;-119.76;1;100;1;268;0;0;25.950929;0
606;250;0;40.06;-40.06;1;400;1;400;100;0;20.640443;0
610;20.23;0;500;-500;1;100;1;28.91;11.55;0;20.018782;0
613;250;0;40.06;-40.06;1;400;1;400;100;0;21.654046;0
617;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;40.552154;0
618;26.5;0;500;-500;1;100;1;42.05;10.95;0;51.575697;0
620;141;0;214.58;-214.58;1;100;1;282;0;0;44.001768;0
620;398.7;0;500;-500;1;100;1;486.99;310.41;0;27.636333;0
621;52.665;0;11.03;-11.03;1;100;1;100;5.33;0;20.377069;0
622;50.665;91.185;183;-0.63;1;100;1;100;1.33;0;31.179278;0
623;60.2;88.355;180;-3.29;1;100;1;100;20.4;0;32.898006;0
625;51.665;96.325;197;-4.35;1;100;1;100;3.33;0;31.292599;0
626;50.665;94.185;189;-0.63;1;100;1;100;1.33;0;57.73567;0
636;57.68;93.68;191;-3.64;1;100;1;100;15.36;0;34.053609;0
637;28.975;0;32.96;-32.96;1;100;1;100;-42.05;0;0;0
639;54.2;0;13.45;-13.45;1;100;1;100;8.4;0;23.866803;0
642;250;89.52;180;-0.96;1;400;1;400;100;0;47.35001;0
644;55.245;86.41;176;-3.18;1;100;1;100;10.49;0;16.403155;0
648;51.665;87.825;180;-4.35;1;100;1;100;3.33;0;31.281571;0
649;250;0;13.22;-13.22;1;400;1;400;100;0;22.174194;0
652;60.2;93.855;191;-3.29;1;100;1;100;20.4;0;34.442937;0
653;52.775;91.37;184;-1.26;1;100;1;100;5.55;0;34.22796;0
654;0;0;33.33;-33.33;1;100;0;45.36;30.36;0;122.464531;0
655;58.535;91.21;184;-1.58;1;100;1;100;17.07;0;40.845518;0
658;195;93.9;194;-6.2;1;300;1;300;90;0;29.186848;0
659;318.36;0;500;-500;1;100;1;373.66;263.06;0;34.055933;0
663;50.665;88.69;178;-0.62;1;100;1;100;1.33;0;11.887611;0
665;61.005;0;500;-500;1;100;1;109.21;12.8;0;26.943614;0
668;37.675;0;500;-500;1;100;1;70.04;5.31;0;119.789324;0
669;57.735;90.39;183;-2.22;1;100;1;100;15.47;0;25.881294;0
673;250;88.045;186;-9.91;1;400;1;400;100;0;42.564003;0
674;58.535;88.21;178;-1.58;1;100;1;100;17.07;0;24.398951;0
678;149;0;124.98;-124.98;1;100;1;298;0;0;26.802543;0
678;0;0;33.33;-33.33;1;100;0;91.31;76.31;0;34.942941;0
679;195;90.4;187;-6.2;1;300;1;300;90;0;33.254055;0
681;140.5;0;183.32;-183.32;1;100;1;281;0;0;49.082334;0
682;57.68;93.68;191;-3.64;1;100;1;100;15.36;0;43.352877;0
686;13.5;0;500;-500;1;100;1;25.13;1.87;0;20.716759;0
687;52.665;0;11.03;-11.03;1;100;1;100;5.33;0;46.079432;0
693;142;0;74.04;-74.04;1;100;1;284;0;0;15.596285;0
695;250;97.005;196;-1.99;1;400;1;400;100;0;25.430461;0
696;57.735;98.385;199;-2.23;1;100;1;100;15.47;0;22.900459;0
699;55.835;97.56;198;-2.88;1;100;1;100;11.67;0;25.654008;0
701;56.165;92.585;186;-0.83;1;100;1;100;12.33;0;38.452133;0
703;56.165;91.585;184;-0.83;1;100;1;100;12.33;0;25.004926;0
706;250;86.505;175;-1.99;1;400;1;400;100;0;44.289085;0
710;226.59;0;500;-500;1;100;1;351.28;101.9;0;26.85727;0
714;126.5;0;74.78;-74.78;1;100;1;253;0;0;28.069856;0
715;0;0;33.33;-33.33;1;100;0;231.51;216.51;0;30.145533;0
722;51.665;90.325;185;-4.35;1;100;1;100;3.33;0;41.994175;0
725;69.265;0;500;-500;1;100;1;82.44;56.09;0;37.491472;0
727;195;87.4;181;-6.2;1;300;1;300;90;0;21.826107;0
737;55.245;97.91;199;-3.18;1;100;1;100;10.49;0;44.594164;0
739;195;90.4;187;-6.2;1;300;1;300;90;0;34.760355;0
740;130;0;70.56;-70.56;1;100;1;260;0;0;41.458082;0
743;57.68;92.68;189;-3.64;1;100;1;100;15.36;0;26.445747;0
754;140.5;0;68.52;-68.52;1;100;1;281;0;0;21.617796;0
754;0;0;33.33;-33.33;1;100;0;119.31;104.31;0;42.384315;0
756;129;0;298.28;-298.28;1;100;1;258;0;0;18.934955;0
766;58.27;0;42.83;-42.83;1;100;1;100;16.54;0;36.3917;0
771;931.36;0;173.14;-173.14;1;1900;1;1099.31;763.41;0;28.891482;0
782;58.27;0;42.83;-42.83;1;100;1;100;16.54;0;31.316666;0
783;56.5;0;55.42;-55.42;1;100;1;100;13;0;16.203882;0
784;56.5;0;55.42;-55.42;1;100;1;100;13;0;30.747399;0
788;863.215;0;173.14;-173.14;1;1900;1;1126.43;600;0;7.398375;0
791;142.5;0;67.22;-67.22;1;100;1;285;0;0;28.986713;0
791;0;0;33.33;-33.33;1;100;0;116.97;101.97;0;27.927644;0
797;28.15;0;500;-500;1;100;1;37.53;18.77;0;35.97261;0
798;59.585;0;500;-500;1;100;1;71.82;47.35;0;37.793553;0
800;52.45;0;500;-500;1;100;1;64.04;40.86;0;27.857364;0
807;56.795;0;22.36;-22.36;1;100;1;100;13.59;0;27.029193;0
811;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;35.715225;0
812;59.125;0;24.93;-24.93;1;100;1;100;18.25;0;26.692914;0
814;57.455;0;22.3;-22.3;1;100;1;100;14.91;0;22.762978;0
820;59.27;0;35.24;-35.24;1;100;1;100;18.54;0;25.173291;0
823;199.31;2.05;20.52;-16.42;1;300;1;300;98.62;0;42.689668;0
825;57.625;0;22.17;-22.17;1;100;1;100;15.25;0;42.481812;0
830;634.62;0;500;-500;1;100;1;779;490.24;0;105.301091;0
840;59.125;0;24.93;-24.93;1;100;1;100;18.25;0;19.403468;0
841;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;44.295821;0
843;57.455;0;22.3;-22.3;1;100;1;100;14.91;0;18.620377;0
845;124.955;0;25.66;-25.66;1;200;1;200;49.91;0;27.050796;0
849;19.36;0;500;-500;1;100;1;27.94;10.78;0;103.435432;0
850;0;0;33.33;-33.33;1;100;0;169.81;154.81;0;47.204125;0
854;56.795;0;22.36;-22.36;1;100;1;100;13.59;0;42.440945;0
858;57.625;0;22.17;-22.17;1;100;1;100;15.25;0;10.552499;0
865;61.655;0;26.39;-26.39;1;100;1;100;23.31;0;25.734425;0
866;132.5;0;90.78;-90.78;1;100;1;265;0;0;28.38722;0
866;0;0;33.33;-33.33;1;100;0;276;0.99;0;28.985855;0
871;550;0;238.02;-238.02;1;900;1;900;200;0;36.524004;0
874;300;0;158.4;-158.4;1;500;1;500;100;0;41.004666;0
880;60.685;0;17.3;-17.3;1;100;1;100;21.37;0;43.944085;0
884;62.555;0;28.93;-28.93;1;100;1;100;25.11;0;28.143509;0
888;60.025;0;13.5;-13.5;1;100;1;100;20.05;0;20.561786;0
891;60.995;0;12.33;-12.33;1;100;1;100;21.99;0;10.639751;0
892;137;0;107.28;-107.28;1;100;1;274;0;0;55.153653;0
893;62.655;0;45.64;-45.64;1;100;1;100;25.31;0;44.420555;0
902;61.655;0;26.39;-26.39;1;100;1;100;23.31;0;24.260786;0
903;146.5;0;116.18;-116.18;1;100;1;293;0;0;22.265534;0
903;0;0;33.33;-33.33;1;100;0;101.8;86.8;0;18.341783;0
911;61.655;0;26.39;-26.39;1;100;1;100;23.31;0;21.734028;0
913;132.525;0;58.97;-58.97;1;200;1;200;65.05;0;40.586526;0
924;132.525;0;58.97;-58.97;1;200;1;200;65.05;0;28.155787;0
927;145.63;0;500;-500;1;100;1;174.76;116.5;0;17.499855;0
932;62.555;0;28.93;-28.93;1;100;1;100;25.11;0;45.089643;0
936;60.025;0;13.5;-13.5;1;100;1;100;20.05;0;23.767379;0
939;0;0;33.33;-33.33;1;100;0;58.09;43.09;0;103.407592;0
941;60.025;0;13.5;-13.5;1;100;1;100;20.05;0;21.341813;0
943;60.995;0;12.33;-12.33;1;100;1;100;21.99;0;28.455279;0
945;62.655;0;45.64;-45.64;1;100;1;100;25.31;0;29.678543;0
946;61.655;0;26.39;-26.39;1;100;1;100;23.31;0;37.168032;0
954;149.5;0;61.94;-61.94;1;100;1;299;0;0;40.183818;0
955;163.065;0;500;-500;1;100;1;198.66;127.47;0;42.625319;0
956;155.37;0;500;-500;1;100;1;302.98;7.76;0;20.757326;0
958;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;30.102244;0
959;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;36.418088;0
960;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;38.156209;0
961;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;30.474185;0
962;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;46.201028;0
963;117.135;0;18.06;-18.06;1;200;1;200;34.27;0;29.636214;0
964;117.135;0;18.06;-18.06;1;200;1;200;34.27;0;42.865191;0
965;116.715;0;18.06;-18.06;1;200;1;200;33.43;0;30.429366;0
966;116.715;0;18.06;-18.06;1;200;1;200;33.43;0;32.328187;0
967;127.435;0;13.98;-13.98;1;200;1;200;54.87;0;30.185971;0
968;127.435;0;13.98;-13.98;1;200;1;200;54.87;0;22.143339;0
969;127.435;0;13.98;-13.98;1;200;1;200;54.87;0;23.133245;0
970;127.435;0;13.98;-13.98;1;200;1;200;54.87;0;33.947062;0
971;56.855;0;14.83;-14.83;1;100;1;100;13.71;0;31.300835;0
972;56.855;0;14.83;-14.83;1;100;1;100;13.71;0;11.437303;0
973;60.95;0;13.18;-13.18;1;100;1;100;21.9;0;19.428367;0
977;55.755;0;15.76;-15.76;1;100;1;100;11.51;0;40.763476;0
978;55.755;0;15.76;-15.76;1;100;1;100;11.51;0;26.340882;0
979;127.895;0;18.37;-18.37;1;200;1;200;55.79;0;45.992916;0
980;57.875;0;13.16;-13.16;1;100;1;100;15.75;0;37.064542;0
981;57.875;0;13.16;-13.16;1;100;1;100;15.75;0;35.498034;0
985;127.435;0;13.98;-13.98;1;200;1;200;54.87;0;6.452297;0
986;0;0;33.33;-33.33;1;100;0;118.19;103.19;0;45.295479;0
991;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;21.090421;0
996;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;18.604165;0
997;129.295;0;26.67;-26.67;1;200;1;200;58.59;0;16.798047;0
1000;0;0;33.33;-33.33;1;100;0;287;4.06;0;45.869201;0
1004;127.895;0;18.37;-18.37;1;200;1;200;55.79;0;44.964297;0
1009;1123.905;0;109.31;-109.31;1;100;1;1556.18;691.63;0;25.571386;0
1010;61.265;0;18.91;-18.91;1;100;1;100;22.53;0;8.278037;0
1011;61.195;0;21.27;-21.27;1;100;1;100;22.39;0;21.011508;0
1012;126.195;0;36.02;-36.02;1;200;1;200;52.39;0;58.604423;0
1014;967.13;0;500;-500;1;100;1;1129.12;805.14;0;14.85457;0
1016;141;0;63.14;-63.14;1;100;1;282;0;0;45.573514;0
1019;64.49;0;500;-500;1;100;1;77.17;51.81;0;46.146949;0
1022;151.71;0;500;-500;1;100;1;182.05;121.37;0;23.284866;0
1024;0;0;33.33;-33.33;1;100;0;59.18;44.18;0;50.791623;0
1026;1205.635;0;500;-500;1;100;1;1446.76;964.51;0;5.479854;0
1030;463.765;0;500;-500;1;100;1;724.17;203.36;0;8.846559;0
1034;129.79;0;500;-500;1;100;1;258;1.58;0;46.763529;0
1036;87.86;0;500;-500;1;100;1;115.82;59.9;0;39.106145;0
1037;59.855;0;74.47;-74.47;1;100;1;100;19.71;0;54.394238;0
1044;0;0;33.33;-33.33;1;100;0;184.22;169.22;0;50.887128;0
1045;93.89;0;500;-500;1;100;1;109.24;78.54;0;15.956215;0
1046;73.075;0;500;-500;1;100;1;86.54;59.61;0;40.459187;0
1047;53.745;0;500;-500;1;100;1;65.45;42.04;0;96.95659;0
1048;652.455;0;500;-500;1;100;1;782.95;521.96;0;21.393824;0
1050;0;0;33.33;-33.33;1;100;0;84.12;69.12;0;32.61683;0
1051;167.055;0;500;-500;1;100;1;272.78;61.33;0;27.7755;0
1052;0;0;33.33;-33.33;1;100;0;53.41;38.41;0;29.325525;0
1054;125.915;0;500;-500;1;100;1;144.18;107.65;0;26.461865;0
1055;342.945;0;500;-500;1;100;1;447.9;237.99;0;33.660929;0
1057;0;0;33.33;-33.33;1;100;0;822.45;807.45;0;7.612868;0
1058;62.615;0;68.26;-68.26;1;100;1;100;25.23;0;32.919175;0
1059;62.62;0;68.4;-68.4;1;100;1;100;25.24;0;26.281959;0
1060;507.47;0;500;-500;1;100;1;712.33;302.61;0;29.702524;0
1062;59.855;0;74.47;-74.47;1;100;1;100;19.71;0;43.709217;0
1064;881.085;0;500;-500;1;100;1;1057.3;704.87;0;38.937475;0
1065;334.82;0;500;-500;1;100;1;392.61;277.03;0;26.336094;0
1067;777.72;0;500;-500;1;100;1;1224.38;331.06;0;23.810776;0
1069;901.21;0;500;-500;1;100;1;1081.45;720.97;0;26.245655;0
1082;124.67;0;500;-500;1;100;1;148.46;100.88;0;10.874877;0
1085;180.575;0;500;-500;1;100;1;226.1;135.05;0;12.395411;0
1095;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;16.22191;0
1118;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;35.704896;0
1139;55.595;0;60.05;-60.05;1;100;1;100;11.19;0;37.726601;0
