bus_i;type;Pd;Qd;Gs;Bs;area;Vm;Va;baseKV;zone;Vmax;Vmin
64;2;413;-361.88;0;0;2;1;0;500;2;1.1;0.9
65;2;0;0;0;0;2;1;0;20;2;1.1;0.9
66;1;0.1;-0.01;0;0;2;1;0;138;2;1.1;0.9
67;1;5.77;0.96;0;0;2;1;0;138;2;1.1;0.9
68;1;0.1;-4.87;0;0;2;1;0;138;2;1.1;0.9
69;1;0.1;-0.74;0;-19.16;2;1;0;138;2;1.1;0.9
70;1;0;0;0;0.02;2;1;0;138;2;1.1;0.9
71;1;0.1;-5.45;0;0;2;1;0;138;2;1.1;0.9
72;1;2.2;-3.95;0;0;2;1;0;138;2;1.1;0.9
73;1;18.52;7.09;0;8.15;2;1;0;138;2;1.1;0.9
74;1;0;0;0;0;2;1;0;138;2;1.1;0.9
75;1;29.03;17.98;0;3.66;2;1;0;138;2;1.1;0.9
76;1;0.1;-1.43;0;0;2;1;0;138;2;1.1;0.9
77;1;0.1;-0.87;0;2.04;2;1;0;138;2;1.1;0.9
78;1;8.71;4.56;0;4.24;2;1;0;138;2;1.1;0.9
79;1;-0.57;-3.27;0;0;2;1;0;138;2;1.1;0.9
80;1;0.1;-0.23;0;0;2;1;0;138;2;1.1;0.9
81;1;35.94;20.67;0;9.96;2;1;0;138;2;1.1;0.9
82;2;0;0;0;0;2;1;0;20;2;1.1;0.9
83;1;0.1;-2.37;0;0;2;1;0;138;2;1.1;0.9
84;1;0;0;0;0;2;1;0;138;2;1.1;0.9
85;1;0.1;-0.73;0;0;2;1;0;138;2;1.1;0.9
86;1;54.98;-9.33;0;10.65;2;1;0;138;2;1.1;0.9
87;1;0.1;-0.15;0;0;2;1;0;138;2;1.1;0.9
88;1;0.1;-1.55;0;0;2;1;0;138;2;1.1;0.9
89;2;0;0;0;-8.48;2;1;0;500;2;1.1;0.9
90;1;13.72;8.44;0;0;2;1;0;138;2;1.1;0.9
91;1;39.53;-28.65;0;0;2;1;0;138;2;1.1;0.9
92;1;-0.57;-1;0;0;2;1;0;138;2;1.1;0.9
93;1;-0.57;-4.29;0;0;2;1;0;138;2;1.1;0.9
94;1;0.1;-1.77;0;0;2;1;0;138;2;1.1;0.9
95;1;11.5;4.37;0;0;2;1;0;138;2;1.1;0.9
96;2;0;0;0;0;2;1;0;20;2;1.1;0.9
97;1;-6.11;1.53;0;0;3;1;0;138;3;1.1;0.9
98;1;0.1;-19.54;0;0;3;1;0;138;3;1.1;0.9
99;1;0.1;-26.52;0;0;3;1;0;138;3;1.1;0.9
100;1;0.1;-29.89;0;0;3;1;0;138;3;1.1;0.9
101;1;0.1;-22.93;0;0;3;1;0;138;3;1.1;0.9
102;1;-8.41;1.87;0;0;3;1;0;138;3;1.1;0.9
103;1;0.1;-15.6;0;0;3;1;0;138;3;1.1;0.9
104;1;-19.62;26.91;0;0;3;1;0;138;3;1.1;0.9
105;2;-41.25;13.02;0;16.09;3;1;0;138;3;1.1;0.9
106;1;0.1;-29.89;0;0;3;1;0;138;3;1.1;0.9
107;1;33.36;20;0;0;3;1;0;138;3;1.1;0.9
108;2;0;0;0;0;3;1;0;138;3;1.1;0.9
109;1;0.1;7.83;0;0;3;1;0;138;3;1.1;0.9
110;1;0.1;-1.89;0;0;3;1;0;138;3;1.1;0.9
111;1;13.77;18.27;0;0;3;1;0;138;3;1.1;0.9
112;1;34.14;21.1;0;0;3;1;0;138;3;1.1;0.9
113;1;0.1;-10.07;0;0;3;1;0;138;3;1.1;0.9
114;1;0;0;0;0;3;1;0;138;3;1.1;0.9
115;1;-13.32;19.44;0;0;3;1;0;138;3;1.1;0.9
116;1;0.1;0;0;0;3;1;0;138;3;1.1;0.9
117;2;0;0;0;0;3;1;0;138;3;1.1;0.9
118;1;0.1;-19.08;0;0;3;1;0;138;3;1.1;0.9
119;1;0;0;0;0;3;1;0;138;3;1.1;0.9
120;1;37.6;21.67;0;0;3;1;0;138;3;1.1;0.9
121;1;27.86;14.21;0;0;3;1;0;138;3;1.1;0.9
122;1;13.72;-10.96;0;0;3;1;0;138;3;1.1;0.9
123;1;0.1;-1.89;0;0;3;1;0;138;3;1.1;0.9
124;1;0.1;-4.32;0;0;3;1;0;138;3;1.1;0.9
125;1;-0.67;-3.25;0;0;3;1;0;138;3;1.1;0.9
126;2;0.1;-19.08;0;0;3;1;0;138;3;1.1;0.9
127;1;0;0;0;0;4;1;0;20;4;1.1;0.9
128;2;210.5;27.62;0;-49.77;4;1;0;500;4;1.1;0.9
129;2;0;0;0;0;4;1;0;20;4;1.1;0.9
130;2;0;0;0;0;4;1;0;20;4;1.1;0.9
131;2;0;0;0;0;4;1;0;20;4;1.1;0.9
132;2;0;0;0;0;4;1;0;20;4;1.1;0.9
133;2;0;0;0;0;4;1;0;20;4;1.1;0.9
134;2;0;0;0;0;4;1;0;20;4;1.1;0.9
135;1;229.05;127.87;0;0;4;1;0;500;4;1.1;0.9
136;2;0;0;0;0;4;1;0;20;4;1.1;0.9
137;1;17.32;-9.92;0;0;4;1;0;500;4;1.1;0.9
138;1;1.38;40.91;0;0;4;1;0;500;4;1.1;0.9
139;1;36.54;1.82;0;0;4;1;0;345;4;1.1;0.9
140;1;287.7;3.44;0;0;4;1;0;500;4;1.1;0.9
141;1;90.7;1.7;0;0;4;1;0;345;4;1.1;0.9
142;2;0;0;0;0;4;1;0;500;4;1.1;0.9
143;2;303.04;131.03;0;0;4;1;0;500;4;1.1;0.9
144;1;300.2;-33.04;0;0;4;1;0;500;4;1.1;0.9
145;1;207.95;-48.04;0;0;4;1;0;500;4;1.1;0.9
146;2;34.44;-34.16;0;16.08;4;1;0;500;4;1.1;0.9
147;1;25.54;-11.15;0;0;4;1;0;345;4;1.1;0.9
148;1;0;0;0;0;4;1;0;20;4;1.1;0.9
149;1;30.93;0.69;0;5.66;4;1;0;345;4;1.1;0.9
150;2;14.32;-83.22;0;-23.72;4;1;0;500;4;1.1;0.9
151;2;189.4;22.18;0;0;4;1;0;345;4;1.1;0.9
152;1;1.72;56.78;0;0;4;1;0;500;4;1.1;0.9
153;2;0;0;0;0;4;1;0;20;4;1.1;0.9
154;1;104.6;39.28;0;0;4;1;0;345;4;1.1;0.9
155;1;493.4;-4.59;0;0;4;1;0;500;4;1.1;0.9
156;1;69.78;13.96;0;0;4;1;0;345;4;1.1;0.9
157;2;0;0;0;0;4;1;0;20;4;1.1;0.9
158;1;633.63;11.09;0;0;4;1;0;345;4;1.1;0.9
159;1;0;0;0;0;4;1;0;20;4;1.1;0.9
160;1;694.34;45.83;0;0;4;1;0;345;4;1.1;0.9
161;1;0;0;0;0;4;1;0;20;4;1.1;0.9
162;1;0;0;0;0;4;1;0;20;4;1.1;0.9
163;2;0;0;0;0;4;1;0;20;4;1.1;0.9
164;1;0;0;0;0;4;1;0;20;4;1.1;0.9
165;2;0;0;0;0;4;1;0;20;4;1.1;0.9
166;2;0;0;0;0;4;1;0;20;4;1.1;0.9
167;2;0;0;0;0;4;1;0;20;4;1.1;0.9
168;2;0;0;0;0;4;1;0;20;4;1.1;0.9
169;2;0;0;0;0;4;1;0;20;4;1.1;0.9
170;1;-24.49;95.16;0;11.38;4;1;0;500;4;1.1;0.9
171;1;179.74;-1.65;0;0;4;1;0;345;4;1.1;0.9
172;1;80.59;-11.62;0;0;4;1;0;345;4;1.1;0.9
173;1;366.6;-3.38;0;0;4;1;0;500;4;1.1;0.9
174;1;72.28;5.18;0;0;4;1;0;345;4;1.1;0.9
175;1;31.59;-20.02;0;0;4;1;0;500;4;1.1;0.9
176;2;0;0;0;0;4;1;0;20;4;1.1;0.9
177;1;449.54;10.66;0;0;4;1;0;345;4;1.1;0.9
178;1;19.12;-14.57;0;0;4;1;0;500;4;1.1;0.9
179;2;0;0;0;0;4;1;0;20;4;1.1;0.9
180;2;0;0;0;0;4;1;0;20;4;1.1;0.9
181;1;24.33;-74.57;0;0;4;1;0;500;4;1.1;0.9
182;2;0;0;0;0;4;1;0;20;4;1.1;0.9
183;1;0;0;0;0;4;1;0;20;4;1.1;0.9
184;1;0;0;0;0;4;1;0;20;4;1.1;0.9
185;2;0;0;0;0;4;1;0;20;4;1.1;0.9
186;1;67.47;4.64;0;0;4;1;0;345;4;1.1;0.9
187;2;0;0;0;0;4;1;0;20;4;1.1;0.9
188;2;0;0;0;0;4;1;0;20;4;1.1;0.9
189;2;0;0;0;0;4;1;0;20;4;1.1;0.9
190;1;0;0;0;0;4;1;0;20;4;1.1;0.9
191;1;0;0;0;0;4;1;0;20;4;1.1;0.9
192;1;0;0;0;0;4;1;0;20;4;1.1;0.9
193;1;142;10.03;0;0;4;1;0;345;4;1.1;0.9
194;2;0;0;0;0;4;1;0;500;4;1.1;0.9
195;1;186.8;12.96;0;0;4;1;0;345;4;1.1;0.9
196;1;0;0;0;0;4;1;0;20;4;1.1;0.9
197;1;0;0;0;0;4;1;0;20;4;1.1;0.9
198;1;0;0;0;0;4;1;0;20;4;1.1;0.9
199;1;0;0;0;0;4;1;0;20;4;1.1;0.9
200;1;0;0;0;0;4;1;0;20;4;1.1;0.9
201;1;127.2;-18.5;0;0;4;1;0;345;4;1.1;0.9
202;2;179;-2.38;0;-38.1;4;1;0;500;4;1.1;0.9
203;1;0;0;0;0;4;1;0;20;4;1.1;0.9
204;2;0;0;0;0;4;1;0;20;4;1.1;0.9
205;1;156.6;4.64;0;0;4;1;0;345;4;1.1;0.9
206;1;0;0;0;0;4;1;0;20;4;1.1;0.9
207;1;0;0;0;0;4;1;0;20;4;1.1;0.9
208;1;40.54;1.72;0;0;4;1;0;345;4;1.1;0.9
209;1;0;0;0;0;4;1;0;20;4;1.1;0.9
210;2;0;0;0;0;4;1;0;20;4;1.1;0.9
211;1;0;0;0;0;4;1;0;20;4;1.1;0.9
212;1;0;0;0;0;4;1;0;20;4;1.1;0.9
213;2;0;0;0;0;4;1;0;20;4;1.1;0.9
214;1;0;0;0;0;4;1;0;20;4;1.1;0.9
215;1;0;0;0;0;4;1;0;20;4;1.1;0.9
216;2;36.74;-2.88;0;0;4;1;0;500;4;1.1;0.9
217;1;6.31;-0.67;0;0;5;1;0;110;5;1.1;0.9
218;1;0.1;-0.88;0;0;5;1;0;110;5;1.1;0.9
219;1;70.53;22.7;0;0;5;1;0;110;5;1.1;0.9
220;1;45.81;-22.29;0;0;5;1;0;500;5;1.1;0.9
221;1;-0.54;-113.68;0;0;5;1;0;500;5;1.1;0.9
222;1;19.02;5.95;0;0;5;1;0;110;5;1.1;0.9
223;1;5.11;0.53;0;0;5;1;0;110;5;1.1;0.9
224;2;0;0;0;0;5;1;0;20;5;1.1;0.9
225;1;56.56;2.87;0;0;5;1;0;110;5;1.1;0.9
226;1;10.11;2.03;0;0;5;1;0;110;5;1.1;0.9
227;2;0;0;0;0;5;1;0;500;5;1.1;0.9
228;1;12.35;-3.5;0;0;5;1;0;110;5;1.1;0.9
229;2;0;0;0;0;5;1;0;20;5;1.1;0.9
230;2;0;0;0;0;5;1;0;20;5;1.1;0.9
231;1;0.1;-0.08;0;0;5;1;0;110;5;1.1;0.9
232;2;0;0;0;0;5;1;0;20;5;1.1;0.9
233;1;17.12;2.8;0;0;5;1;0;110;5;1.1;0.9
234;1;88.04;-22.4;0;0;5;1;0;345;5;1.1;0.9
235;1;14.92;3.08;0;0;5;1;0;110;5;1.1;0.9
236;1;41.15;1.59;0;0;5;1;0;110;5;1.1;0.9
237;2;0;0;0;0;5;1;0;20;5;1.1;0.9
238;2;0;0;0;0;5;1;0;20;5;1.1;0.9
239;2;0;0;0;0;5;1;0;20;5;1.1;0.9
240;1;20.12;8.42;0;0;5;1;0;110;5;1.1;0.9
241;1;2.5;-0.11;0;0;5;1;0;110;5;1.1;0.9
242;2;5.11;-3.83;0;0;5;1;0;110;5;1.1;0.9
243;1;14.26;-1.78;0;0;5;1;0;110;5;1.1;0.9
244;2;145.84;29.78;0;-44.85;5;1;0;500;5;1.1;0.9
245;1;0.44;-6.16;0;0;5;1;0;500;5;1.1;0.9
246;1;0.15;-92.21;0;58.45;5;1;0;500;5;1.1;0.9
247;2;2.5;1.14;0;0;5;1;0;110;5;1.1;0.9
248;2;0.27;-87.43;0;0;5;1;0;500;5;1.1;0.9
249;1;3.8;0.52;0;0;5;1;0;110;5;1.1;0.9
250;1;17.82;7.16;0;0;5;1;0;110;5;1.1;0.9
251;1;20.72;-3.2;0;0;5;1;0;110;5;1.1;0.9
252;1;20.12;8.43;0;0;5;1;0;110;5;1.1;0.9
253;1;31.77;0.68;0;0;5;1;0;110;5;1.1;0.9
254;1;21.62;9.66;0;0;5;1;0;110;5;1.1;0.9
255;2;0;0;0;0;5;1;0;20;5;1.1;0.9
256;2;0;0;0;0;5;1;0;20;5;1.1;0.9
257;1;77.53;19.47;0;0;5;1;0;110;5;1.1;0.9
258;2;0;0;0;0;5;1;0;20;5;1.1;0.9
259;1;51.96;22.2;0;0;5;1;0;110;5;1.1;0.9
260;1;41.97;24.42;0;0;5;1;0;345;5;1.1;0.9
261;2;0;0;0;0;5;1;0;20;5;1.1;0.9
262;1;0.27;-91.79;0;0;5;1;0;500;5;1.1;0.9
263;1;21.62;9.66;0;0;5;1;0;110;5;1.1;0.9
264;1;437.31;75.45;0;0;5;1;0;500;5;1.1;0.9
265;1;0.1;-119.78;0;0;5;1;0;500;5;1.1;0.9
266;1;93.4;38.76;0;0;5;1;0;345;5;1.1;0.9
267;1;51.96;1.36;0;0;5;1;0;110;5;1.1;0.9
268;1;0.22;-46.23;0;0;5;1;0;500;5;1.1;0.9
269;2;0;0;0;0;5;1;0;20;5;1.1;0.9
270;2;0;0;0;0;5;1;0;20;5;1.1;0.9
271;1;19.84;2.17;0;0;5;1;0;110;5;1.1;0.9
272;1;61.05;5.08;0;0;5;1;0;110;5;1.1;0.9
273;2;0;0;0;0;5;1;0;20;5;1.1;0.9
274;1;30.03;12.51;0;0;5;1;0;110;5;1.1;0.9
275;1;8.91;2.19;0;0;5;1;0;110;5;1.1;0.9
276;1;64.57;5.2;0;0;5;1;0;110;5;1.1;0.9
277;1;143.79;32.52;0;0;5;1;0;345;5;1.1;0.9
278;1;0;0;0;0;6;1;0;20;6;1.1;0.9
279;2;0;0;0;0;6;1;0;20;6;1.1;0.9
280;2;0;0;0;0;6;1;0;20;6;1.1;0.9
281;1;144.4;27.84;0;0;6;1;0;345;6;1.1;0.9
282;1;0.1;-5.67;0;0;6;1;0;345;6;1.1;0.9
283;1;343.9;136.35;0;0;6;1;0;345;6;1.1;0.9
284;2;0.1;-6.63;0;0;6;1;0;345;6;1.1;0.9
285;1;0.1;-2.05;0;0;6;1;0;345;6;1.1;0.9
286;1;0.1;-3.47;0;0;6;1;0;345;6;1.1;0.9
287;1;0.1;-2.81;0;0;6;1;0;345;6;1.1;0.9
288;1;0.1;-2.61;0;0;6;1;0;345;6;1.1;0.9
289;2;0;0;0;0;6;1;0;20;6;1.1;0.9
290;1;20.92;6.49;0;0;6;1;0;345;6;1.1;0.9
291;1;0.1;-2.91;0;0;6;1;0;345;6;1.1;0.9
292;2;0;0;0;0;6;1;0;20;6;1.1;0.9
293;2;0;0;0;0;6;1;0;20;6;1.1;0.9
294;1;0.1;-3.72;0;0;6;1;0;345;6;1.1;0.9
295;2;0;0;0;0;6;1;0;20;6;1.1;0.9
296;1;107;33.16;0;0;6;1;0;345;6;1.1;0.9
297;1;83.29;22.87;0;0;6;1;0;345;6;1.1;0.9
298;1;0.1;-1.02;0;0;6;1;0;345;6;1.1;0.9
299;1;0.1;-13.94;0;0;6;1;0;345;6;1.1;0.9
300;2;0;0;0;0;6;1;0;20;6;1.1;0.9
301;2;0;0;0;0;6;1;0;20;6;1.1;0.9
302;2;0;0;0;0;6;1;0;500;6;1.1;0.9
303;2;0;0;0;0;6;1;0;20;6;1.1;0.9
304;1;29.22;-150.39;0;0;6;1;0;500;6;1.1;0.9
305;1;178.25;55.64;0;0;6;1;0;345;6;1.1;0.9
306;2;0;0;0;0;6;1;0;20;6;1.1;0.9
307;2;0;0;0;0;6;1;0;20;6;1.1;0.9
308;2;0;0;0;0;6;1;0;20;6;1.1;0.9
309;1;0.1;-7.45;0;0;6;1;0;345;6;1.1;0.9
310;1;111;34.39;0;0;6;1;0;345;6;1.1;0.9
311;1;349.3;143.76;0;39.9;6;1;0;345;6;1.1;0.9
312;1;141.2;37.85;0;0;6;1;0;345;6;1.1;0.9
313;2;0;0;0;0;6;1;0;20;6;1.1;0.9
314;2;0.1;-3.06;0;-58.65;6;1;0;345;6;1.1;0.9
315;1;0.1;-2.07;0;0;6;1;0;345;6;1.1;0.9
316;1;0.1;-2.9;0;0;6;1;0;345;6;1.1;0.9
317;2;0;0;0;0;6;1;0;20;6;1.1;0.9
318;2;0;0;0;0;6;1;0;20;6;1.1;0.9
319;1;300.14;71.82;0;0;6;1;0;345;6;1.1;0.9
320;1;38.44;1.44;0;0;6;1;0;345;6;1.1;0.9
321;1;59.31;9.67;0;-70.77;6;1;0;345;6;1.1;0.9
322;2;0;0;0;0;6;1;0;20;6;1.1;0.9
323;2;0;0;0;0;6;1;0;20;6;1.1;0.9
324;2;0;0;0;0;6;1;0;20;6;1.1;0.9
325;2;0;0;0;0;6;1;0;20;6;1.1;0.9
326;2;0;0;0;0;6;1;0;20;6;1.1;0.9
327;2;0;0;0;0;6;1;0;20;6;1.1;0.9
328;2;0;0;0;0;6;1;0;20;6;1.1;0.9
329;1;92.7;-18.34;0;0;7;1;0;138;7;1.1;0.9
330;1;92.97;-18.4;0;0;7;1;0;138;7;1.1;0.9
331;1;0;0;0;0;7;1;0;138;7;1.1;0.9
332;1;0;0;0;0;7;1;0;138;7;1.1;0.9
333;1;0;0;0;0;7;1;0;33;7;1.1;0.9
334;2;0;0;0;0;7;1;0;33;7;1.1;0.9
335;2;0;0;0;0;7;1;0;33;7;1.1;0.9
336;2;0;0;0;0;7;1;0;33;7;1.1;0.9
337;1;0;0;0;0;7;1;0;138;7;1.1;0.9
338;1;0;0;0;0;7;1;0;138;7;1.1;0.9
339;2;0;0;0;-36.65;7;1;0;138;7;1.1;0.9
340;1;0;0;0;0;7;1;0;138;7;1.1;0.9
341;1;0;0;0;0;7;1;0;138;7;1.1;0.9
342;1;0;0;0;0;7;1;0;138;7;1.1;0.9
343;2;0;0;0;0;7;1;0;138;7;1.1;0.9
344;1;0;0;0;0;7;1;0;138;7;1.1;0.9
345;2;0;0;0;0;7;1;0;138;7;1.1;0.9
346;1;0;0;0;0;7;1;0;138;7;1.1;0.9
347;2;0;0;0;0;7;1;0;138;7;1.1;0.9
348;1;0;0;0;0;7;1;0;33;7;1.1;0.9
349;2;0;0;0;0;7;1;0;33;7;1.1;0.9
350;1;0;0;0;0;7;1;0;138;7;1.1;0.9
351;2;0;0;0;0;7;1;0;138;7;1.1;0.9
352;2;0;0;0;0;7;1;0;138;7;1.1;0.9
353;1;0;0;0;0;7;1;0;138;7;1.1;0.9
354;2;0;0;0;0;7;1;0;138;7;1.1;0.9
355;1;0;0;0;0;7;1;0;138;7;1.1;0.9
356;2;0;0;0;0;7;1;0;138;7;1.1;0.9
357;1;0;0;0;0;7;1;0;138;7;1.1;0.9
358;1;0;0;0;0;7;1;0;138;7;1.1;0.9
359;1;0;0;0;0;7;1;0;33;7;1.1;0.9
360;2;0;0;0;0;7;1;0;33;7;1.1;0.9
361;2;0;0;0;0;7;1;0;33;7;1.1;0.9
362;2;0;0;0;0;7;1;0;33;7;1.1;0.9
363;1;0;0;0;0;7;1;0;138;7;1.1;0.9
364;1;0;0;0;0;7;1;0;138;7;1.1;0.9
365;2;0;0;0;-5.76;7;1;0;138;7;1.1;0.9
366;1;0;0;0;0;7;1;0;33;7;1.1;0.9
367;2;0;0;0;0;7;1;0;33;7;1.1;0.9
368;1;0;0;0;0;7;1;0;138;7;1.1;0.9
369;2;0;0;0;0;7;1;0;138;7;1.1;0.9
370;2;0;0;0;56.67;7;1;0;138;7;1.1;0.9
371;1;0;0;0;0;7;1;0;33;7;1.1;0.9
372;1;0;0;0;0;7;1;0;138;7;1.1;0.9
373;1;11.93;-6.56;0;0;7;1;0;138;7;1.1;0.9
374;2;0;0;0;-5.57;7;1;0;138;7;1.1;0.9
375;2;0;0;0;-4.88;7;1;0;138;7;1.1;0.9
376;2;0;0;0;37;7;1;0;138;7;1.1;0.9
377;2;0;0;0;11.57;7;1;0;345;7;1.1;0.9
378;1;0;0;0;0;7;1;0;345;7;1.1;0.9
379;1;0;0;0;0;7;1;0;138;7;1.1;0.9
380;1;0;0;0;0;7;1;0;138;7;1.1;0.9
381;1;0;0;0;2.69;7;1;0;138;7;1.1;0.9
382;2;0;0;0;0;7;1;0;138;7;1.1;0.9
383;2;0;0;0;0;7;1;0;138;7;1.1;0.9
384;1;0;0;0;0;7;1;0;138;7;1.1;0.9
385;1;0;0;0;0;7;1;0;138;7;1.1;0.9
386;1;0;0;0;0;7;1;0;138;7;1.1;0.9
387;1;0;0;0;0;7;1;0;138;7;1.1;0.9
388;2;0;0;0;0;7;1;0;345;7;1.1;0.9
389;1;125.98;-40.85;0;0;7;1;0;345;7;1.1;0.9
390;1;30.63;1.05;0;0;7;1;0;33;7;1.1;0.9
391;1;0;0;0;3.44;7;1;0;138;7;1.1;0.9
392;1;0;0;0;0;7;1;0;138;7;1.1;0.9
393;1;0;0;0;0;7;1;0;138;7;1.1;0.9
394;1;40.2;10.41;0;0;7;1;0;33;7;1.1;0.9
395;1;0;0;0;0;7;1;0;138;7;1.1;0.9
396;1;0;0;0;0;7;1;0;138;7;1.1;0.9
397;1;0;0;0;0;7;1;0;138;7;1.1;0.9
398;1;10.26;-5.54;0;0;7;1;0;138;7;1.1;0.9
399;1;0;0;0;0;7;1;0;138;7;1.1;0.9
400;1;0;0;0;0;7;1;0;138;7;1.1;0.9
401;1;0;0;0;0;7;1;0;138;7;1.1;0.9
402;1;0;0;0;0;7;1;0;138;7;1.1;0.9
403;1;57.31;3.76;0;0;7;1;0;138;7;1.1;0.9
404;1;37.11;6.17;0;0;7;1;0;138;7;1.1;0.9
405;1;32.01;-0.83;0;0;7;1;0;138;7;1.1;0.9
406;1;28.04;1.08;0;0;7;1;0;138;7;1.1;0.9
407;1;0;0;0;0;7;1;0;138;7;1.1;0.9
408;1;0;0;0;0;7;1;0;138;7;1.1;0.9
409;1;0;0;0;0;7;1;0;138;7;1.1;0.9
410;1;0;0;0;0;7;1;0;138;7;1.1;0.9
411;1;0;0;0;0;7;1;0;138;7;1.1;0.9
412;2;0;0;0;0;7;1;0;138;7;1.1;0.9
413;1;0;0;0;0;7;1;0;138;7;1.1;0.9
414;1;0;0;0;0;7;1;0;138;7;1.1;0.9
415;1;0;0;0;0;7;1;0;138;7;1.1;0.9
416;1;0;0;0;0;7;1;0;138;7;1.1;0.9
417;2;72.48;20.52;0;0;7;1;0;33;7;1.1;0.9
418;1;0;0;0;0;7;1;0;138;7;1.1;0.9
419;1;0;0;0;0;7;1;0;138;7;1.1;0.9
420;1;0;0;0;0;7;1;0;138;7;1.1;0.9
421;2;0;0;0;0;7;1;0;138;7;1.1;0.9
422;2;0;0;0;0;7;1;0;33;7;1.1;0.9
423;1;0;0;0;0;7;1;0;138;7;1.1;0.9
424;1;0;0;0;0;7;1;0;138;7;1.1;0.9
425;1;0;0;0;0;7;1;0;138;7;1.1;0.9
426;1;0;0;0;0;7;1;0;138;7;1.1;0.9
