fbus;tbus;r;x;b;rateA;rateB;rateC;ratio;angle;status;angmin;angmax
57;79;0.01882;0.07227;0;50;60;90;0;0;1;-30;30
57;87;0.00201;0.00665;0;50;60;90;0;0;1;-30;30
57;88;0.00198;0.0068;0;50;60;90;0;0;1;-30;30
57;93;0.01804;0.05949;0;50;60;90;0;0;1;-30;30
57;93;0.01771;0.06081;0;50;60;90;0;0;1;-30;30
57;94;0.02313;0.07629;0;133.15;159.78;239.67;0;0;1;-30;30
58;90;0;0.00022;0;50;60;90;0;0;1;-30;30
59;68;0.00709;0.01794;0;92.51;111.02;138.77;0;0;1;-30;30
59;69;0.02085;0.05283;0;152.62;183.14;228.93;0;0;1;-30;30
59;70;0;0.00022;0;50;60;90;0;0;1;-30;30
59;83;0.01054;0.04794;0;66.72;80.06;120.09;0;0;1;-30;30
60;79;0.0061;0.02982;0;50;60;90;0;0;1;-30;30
60;93;0.00096;0.00338;0;50;60;90;0;0;1;-30;30
61;67;0.03782;0.07534;0;113.66;136.39;204.58;0;0;1;-30;30
62;75;0;0.00022;0;50;60;90;0;0;1;-30;30
63;85;0.01987;0.04289;0;57.74;69.28;86.6;0;0;1;-30;30
63;90;0.00076;0.00198;0;57.09;68.51;85.64;0;0;1;-30;30
64;803;0.0001;0.01;0;551.73;662.08;827.6;0;0;1;-30;30
66;65;0.00125;0.1;0;24.11;28.93;43.39;1.01;0;1;-30;30
66;82;0.00125;0.1;0;24.26;29.12;43.67;1.01;0;1;-30;30
66;96;0.00125;0.1;0;24.26;29.12;43.67;1.01;0;1;-30;30
68;71;0.01061;0.00521;0;90.9;109.08;136.34;0;0;1;-30;30
69;2001;0.0001;0.01;0;164.83;197.8;247.24;0;0;1;-30;30
71;73;0.00191;0.00075;0;89.37;107.24;134.05;0;0;1;-30;30
72;81;0.01691;0.07039;0;92.07;110.48;138.1;0;0;1;-30;30
73;74;0;0.00028;0;50;60;90;0;0;1;-30;30
75;77;0.0001;0.00033;0;96.33;115.59;173.39;0;0;1;-30;30
75;94;8.00E-05;0.0004;0;133.09;159.71;239.57;0;0;1;-30;30
76;88;0.03915;0.088;0;42.11;50.54;63.17;0;0;1;-30;30
76;90;0.00075;0.00183;0;42.75;51.3;64.13;0;0;1;-30;30
79;93;0.00707;0.03316;0;50;60;90;0;0;1;-30;30
80;85;0.00026;0.00109;0;57.93;69.51;86.89;0;0;1;-30;30
83;95;0.01675;0.06488;0;74.53;89.43;111.79;0;0;1;-30;30
84;86;0;0.00028;0;50;60;90;0;0;1;-30;30
86;1573;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
87;92;0.00012;0.00032;0;50;60;90;0;0;1;-30;30
89;830;0.0001;0.01;0;501.58;601.89;752.37;0;0;1;-30;30
91;1576;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
97;102;0.00427;0.01643;0;172.47;206.96;258.7;0;0;1;-30;30
97;105;0.00232;0.00928;0;165.29;198.35;247.93;0;0;1;-30;30
98;109;0.00944;0.04427;0;223.86;268.64;335.79;0;0;1;-30;30
98;113;0.0154;0.00602;0;234.46;281.36;351.7;0;0;1;-30;30
99;112;0;0.00028;0;98.42;118.11;147.63;0;0;1;-30;30
99;119;0.00885;0.02096;0;99.11;118.94;148.67;0;0;1;-30;30
100;106;0.00959;0.02332;0;213.42;256.1;320.13;0;0;1;-30;30
100;125;0;0.00022;0;147.9;177.48;221.85;0;0;1;-30;30
101;114;0.00765;0.01963;0;135.51;162.62;203.27;0;0;1;-30;30
101;125;0;0.00022;0;102.05;122.46;183.68;0;0;1;-30;30
102;104;0.00749;0.03376;0;182.24;218.69;273.37;0;0;1;-30;30
103;121;0;0.00022;0;196.08;235.3;294.13;0;0;1;-30;30
103;122;0.0052;0.0139;0;207.38;248.85;311.07;0;0;1;-30;30
104;115;0.01632;0.05787;0;215.57;258.69;323.36;0;0;1;-30;30
105;572;0.0001;0.01;0;122.69;147.23;184.04;0;0;1;-30;30
106;116;0;0.00022;0;168.91;202.7;304.04;0;0;1;-30;30
107;114;0;0.00022;0;133.55;160.26;200.33;0;0;1;-30;30
107;119;0;0.00022;0;99.05;118.86;148.57;0;0;1;-30;30
108;117;0.01019;0.02833;0;131.21;157.46;196.82;0;0;1;-30;30
108;125;0;0.00022;0;141.32;169.58;211.98;0;0;1;-30;30
109;111;0;0.00022;0;228.24;273.89;342.36;0;0;1;-30;30
110;112;0;0.00022;0;83.23;99.87;124.84;0;0;1;-30;30
110;123;0.0034;0.00872;0;83.16;99.8;124.74;0;0;1;-30;30
111;124;0.00654;0.0272;0;230.88;277.05;346.31;0;0;1;-30;30
113;115;0;0.00022;0;240.45;288.54;360.67;0;0;1;-30;30
116;118;0;0.00022;0;168.89;202.66;304;0;0;1;-30;30
117;120;0;0.00022;0;132.96;159.55;199.44;0;0;1;-30;30
118;126;0.00612;0.01467;0;187.82;225.38;338.07;0;0;1;-30;30
120;123;0;0.00022;0;82.97;99.56;124.45;0;0;1;-30;30
121;125;0;0.00022;0;181.57;217.88;272.36;0;0;1;-30;30
122;124;0.00315;0.00128;0;227.26;272.71;340.89;0;0;1;-30;30
126;664;0.0001;0.01;0;146.7;176.04;220.05;0;0;1;-30;30
142;127;0.00125;0.1;0;50;60;90;0.99351;0;1;-30;30
128;136;0.00125;0.1;0;44.87;53.84;80.77;1.00356;0;1;-30;30
128;145;0.00154;0.01634;0;154.77;185.72;278.59;0;0;1;-30;30
128;145;0.00157;0.01604;0;157.61;189.13;283.7;0;0;1;-30;30
128;146;0.00068;0.0089;0;848.39;1018.07;1272.59;0;0;1;-30;30
128;147;0.00072;0.03809;0;306.15;367.38;459.22;1.01;0;1;-30;30
128;150;0.00194;0.02225;0;287.77;345.33;431.66;0;0;1;-30;30
128;181;0.00107;0.00871;0;165.12;198.15;247.68;0;0;1;-30;30
128;196;0.00125;0.1;0;50;60;90;0.99782;0;1;-30;30
128;197;0.00125;0.1;0;50;60;90;0.99782;0;1;-30;30
128;198;0.00125;0.1;0;50;60;90;0.99782;0;1;-30;30
128;199;0.00125;0.1;0;50;60;90;0.99782;0;1;-30;30
128;989;0.0001;0.01;0;516.88;620.26;775.32;0;0;1;-30;30
138;129;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
138;130;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
138;131;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
138;132;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
138;133;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
138;134;0.00212;0.08472;0;114.62;137.54;206.31;1.00004;0;1;-30;30
135;141;0.00019;0.02119;0;366.95;440.34;660.52;0.99168;0;1;-30;30
135;141;0.00019;0.02079;0;368.36;442.03;663.05;1.00007;0;1;-30;30
135;176;0.00053;0.02122;0;421.77;506.12;759.19;1.00328;0;1;-30;30
135;187;0.00053;0.02122;0;421.77;506.12;759.19;1.00328;0;1;-30;30
135;188;0.00053;0.02122;0;421.77;506.12;759.19;1.00328;0;1;-30;30
135;189;0.00053;0.02122;0;421.77;506.12;759.19;1.00328;0;1;-30;30
135;194;0.00013;0.00154;0;641.9;770.28;962.85;0;0;1;-30;30
135;194;0.00012;0.00157;0;641.35;769.62;962.02;0;0;1;-30;30
137;144;0.0008;0.00784;0;1034.07;1240.89;1551.11;0;0;1;-30;30
137;173;0.00066;0.00602;0;1061.08;1273.3;1591.62;0;0;1;-30;30
138;152;0.00021;0.00288;0;461.79;554.15;692.69;0;0;1;-30;30
138;152;0.0002;0.00294;0;452.52;543.03;678.78;0;0;1;-30;30
138;173;0.00065;0.00764;0;690.94;829.13;1243.69;0;0;1;-30;30
138;173;0.00064;0.0078;0;676.94;812.32;1218.48;0;0;1;-30;30
138;179;0.00212;0.08472;0;116.39;139.66;209.5;1.00004;0;1;-30;30
138;180;0.00212;0.08472;0;116.39;139.66;209.5;1.00004;0;1;-30;30
139;141;0.00339;0.02053;0;502.82;603.39;754.24;0;0;1;-30;30
139;154;0.00169;0.00933;0;301.05;361.26;541.89;0;0;1;-30;30
155;139;0.00065;0.03746;0;303.37;364.05;546.07;0.99408;0;1;-30;30
155;139;0.00052;0.0273;0;421.52;505.82;758.73;0.99;0;1;-30;30
139;186;0.00105;0.00797;0;558.71;670.46;838.07;0;0;1;-30;30
139;205;0.00119;0.00875;0;587.56;705.07;881.34;0;0;1;-30;30
140;155;0.00051;0.00549;0;955.8;1146.96;1720.44;0;0;1;-30;30
140;173;0.00061;0.00582;0;470.51;564.61;705.77;0;0;1;-30;30
140;201;0.00023;0.02191;0;452.53;543.04;814.56;0.99;0;1;-30;30
141;151;0.00101;0.00719;0;210.09;252.1;378.15;0;0;1;-30;30
142;144;0.0008;0.01072;0;809;970.79;1456.19;0;0;1;-30;30
142;148;0.00125;0.1;0;50;60;90;0.99351;0;1;-30;30
142;152;0.00068;0.00648;0;589.27;707.12;883.9;0;0;1;-30;30
142;152;0.0003;0.00427;0;524.44;629.33;944;0;0;1;-30;30
142;165;0.00125;0.1;0;35.13;42.15;63.23;0.99919;0;1;-30;30
142;178;0.00067;0.00661;0;180.7;216.84;271.05;0;0;1;-30;30
142;203;0.00125;0.1;0;50;60;90;0.99351;0;1;-30;30
142;207;0.00125;0.1;0;50;60;90;0.99351;0;1;-30;30
143;155;0.00135;0.01431;0;613.37;736.04;1104.06;0;0;1;-30;30
143;166;0.00053;0.02122;0;487.56;585.07;877.61;1.00833;0;1;-30;30
143;167;0.00053;0.02122;0;487.56;585.07;877.61;1.00833;0;1;-30;30
143;168;0.00053;0.02122;0;487.56;585.07;877.61;1.00833;0;1;-30;30
143;169;0.00053;0.02122;0;487.56;585.07;877.61;1.00833;0;1;-30;30
143;177;0.00057;0.02777;0;392.3;470.76;706.14;0.99;0;1;-30;30
143;177;0.00064;0.02446;0;436.21;523.45;785.18;1.00226;0;1;-30;30
143;194;0.00095;0.00855;0;545.33;654.4;981.6;0;0;1;-30;30
143;194;0.00086;0.00783;0;595.56;714.67;1072.01;0;0;1;-30;30
143;1793;0.0001;0.01;0;393.51;472.22;590.27;0;0;1;-30;30
144;158;0.00036;0.02845;0;344.26;413.11;619.67;0.99;0;1;-30;30
144;158;0.0004;0.02626;0;372.96;447.55;671.33;0.99;0;1;-30;30
144;158;0.00039;0.02566;0;381.68;458.02;687.02;0.99;0;1;-30;30
144;216;0.00051;0.00612;0;353.36;424.03;636.04;0;0;1;-30;30
145;170;0.00073;0.00799;0;287.41;344.9;431.12;0;0;1;-30;30
145;170;0.00074;0.00784;0;288.79;346.55;433.18;0;0;1;-30;30
145;200;0.00125;0.1;0;50;60;90;0.99498;0;1;-30;30
145;209;0.00125;0.1;0;50;60;90;0.99498;0;1;-30;30
145;210;0.00125;0.1;0;30.33;36.4;54.6;1.00058;0;1;-30;30
145;211;0.00125;0.1;0;50;60;90;0.99498;0;1;-30;30
145;214;0.00125;0.1;0;50;60;90;0.99498;0;1;-30;30
146;954;0.0001;0.01;0;806.14;967.37;1209.21;0;0;1;-30;30
147;183;0.00125;0.1;0;50;60;90;0.99611;0;1;-30;30
147;184;0.00125;0.1;0;50;60;90;0.99611;0;1;-30;30
147;185;0.00125;0.1;0;20.21;24.25;36.37;1.00169;0;1;-30;30
147;1864;0.0001;0.01;0;321.92;386.3;482.88;0;0;1;-30;30
149;177;0.00046;0.00303;0;84.61;101.53;152.3;0;0;1;-30;30
149;1686;0.0001;0.01;0;127.01;152.42;190.52;0;0;1;-30;30
150;181;0.00317;0.02987;0;204.69;245.63;307.04;0;0;1;-30;30
150;2400;0.0001;0.01;0;465.57;558.69;698.36;0;0;1;-30;30
151;1799;0.0001;0.01;0;310.58;372.7;465.88;0;0;1;-30;30
152;153;0.00071;0.02832;0;363.43;436.12;654.17;1.00188;0;1;-30;30
152;155;0.00183;0.01686;0;420.39;504.47;630.59;0;0;1;-30;30
152;157;0.00071;0.02832;0;363.43;436.12;654.17;1.00188;0;1;-30;30
152;181;0.00171;0.01889;0;235.26;282.31;352.89;0;0;1;-30;30
152;182;0.00071;0.02832;0;363.43;436.12;654.17;1.00188;0;1;-30;30
152;204;0.00071;0.02832;0;363.43;436.12;654.17;1.00188;0;1;-30;30
154;156;0.00321;0.00176;0;264.15;316.99;396.23;0;0;1;-30;30
155;194;0.00052;0.00481;0;1385.46;1662.55;2078.19;0;0;1;-30;30
155;194;0.0004;0.00479;0;1388.33;1665.99;2082.49;0;0;1;-30;30
156;201;0.00152;0.00803;0;221.04;265.24;331.56;0;0;1;-30;30
158;171;0.002;0.01118;0;242.59;291.11;436.66;0;0;1;-30;30
170;159;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
173;160;0.00021;0.02511;0;427.49;512.98;769.47;0.99;0;1;-30;30
173;160;0.00021;0.02464;0;435.64;522.77;784.15;0.99;0;1;-30;30
160;201;0.00386;0.02406;0;158.72;190.46;238.08;0;0;1;-30;30
160;208;0.00281;0.02183;0;134.23;161.08;201.35;0;0;1;-30;30
170;161;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
170;162;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
170;163;0.00125;0.1;0;55.84;67.01;100.52;0.99888;0;1;-30;30
170;164;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
170;178;0.00064;0.00772;0;157.85;189.42;236.77;0;0;1;-30;30
170;202;0.00101;0.0091;0;405.96;487.16;608.94;0;0;1;-30;30
170;206;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
170;215;0.00125;0.1;0;50;60;90;0.99303;0;1;-30;30
170;2448;0.0001;0.01;0;606.73;728.07;910.09;0;0;1;-30;30
172;193;0.00054;0.00172;0;273.7;328.44;492.66;0;0;1;-30;30
172;205;0.00058;0.00194;0;383.68;460.42;690.63;0;0;1;-30;30
173;175;0.00149;0.01224;0;257.77;309.32;463.99;0;0;1;-30;30
174;195;0.00034;0.00245;0;147.03;176.44;220.55;0;0;1;-30;30
174;201;0.00105;0.00837;0;234.62;281.55;351.94;0;0;1;-30;30
175;181;0.00078;0.00609;0;261.25;313.5;470.25;0;0;1;-30;30
175;190;0.00125;0.1;0;50;60;90;0.99553;0;1;-30;30
175;191;0.00125;0.1;0;50;60;90;0.99553;0;1;-30;30
175;192;0.00125;0.1;0;50;60;90;0.99553;0;1;-30;30
175;212;0.00125;0.1;0;50;60;90;0.99553;0;1;-30;30
175;213;0.00125;0.1;0;32.52;39.03;58.54;1.00113;0;1;-30;30
177;1887;0.0001;0.01;0;328.3;393.96;492.45;0;0;1;-30;30
186;205;0.00031;0.00236;0;474.17;569;711.25;0;0;1;-30;30
193;195;0.00053;0.00175;0;267.45;320.94;401.17;0;0;1;-30;30
195;201;0.00084;0.00672;0;346.11;415.34;519.17;0;0;1;-30;30
201;205;0.00083;0.00539;0;351.26;421.51;526.89;0;0;1;-30;30
201;208;0.00071;0.00492;0;183.07;219.69;274.61;0;0;1;-30;30
202;1683;0.0001;0.01;0;244.41;293.3;366.62;0;0;1;-30;30
217;235;0.02368;0.0707;0;42.68;51.22;64.02;0;0;1;-30;30
217;243;0.02927;0.06975;0;51.09;61.31;76.63;0;0;1;-30;30
218;233;0.04114;0.11975;0;44.47;53.36;66.7;0;0;1;-30;30
218;241;0.0034;0.0098;0;50;60;90;0;0;1;-30;30
218;242;0.01732;0.05022;0;50;60;90;0;0;1;-30;30
244;219;0.00198;0.08621;0;104.51;125.41;188.11;1.01;0;1;-30;30
219;2297;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
220;268;0.00281;0.02539;0;141.25;169.5;254.25;0;0;1;-30;30
220;1794;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
221;227;0.00179;0.01494;0;371.35;445.62;557.03;0;0;1;-30;30
221;245;0.00035;0.00322;0;919.09;1102.9;1378.63;0;0;1;-30;30
221;245;0.00031;0.00329;0;919.1;1102.92;1378.65;0;0;1;-30;30
221;246;0.00193;0.02044;0;571.31;685.57;856.96;0;0;1;-30;30
221;262;0.00614;0.05775;0;326.06;391.27;586.9;0;0;1;-30;30
221;266;0.00072;0.03106;0;236.5;283.8;425.69;1.00251;0;1;-30;30
222;267;0.00035;0.00088;0;147.58;177.09;221.36;0;0;1;-30;30
222;274;0.0013;0.00432;0;168.91;202.7;253.37;0;0;1;-30;30
223;228;0.00135;0.00688;0;139.16;166.99;208.74;0;0;1;-30;30
223;254;0.00526;0.02465;0;90.35;108.42;162.63;0;0;1;-30;30
262;223;0.00187;0.09183;0;183.38;220.05;330.08;1.01;0;1;-30;30
223;275;0.01507;0.05071;0;69.52;83.43;104.28;0;0;1;-30;30
231;224;0.00125;0.1;0;32.52;39.02;58.53;1.00706;0;1;-30;30
225;231;0.00336;0.0129;0;54.6;65.52;98.28;0;0;1;-30;30
225;233;0.03811;0.1202;0;50;60;90;0;0;1;-30;30
225;275;0.00676;0.01612;0;57.62;69.14;86.43;0;0;1;-30;30
226;249;0.02193;0.0482;0;50;60;90;0;0;1;-30;30
226;251;0.01349;0.03969;0;50;60;90;0;0;1;-30;30
227;264;0.00211;0.01832;0;586.37;703.65;1055.47;0;0;1;-30;30
228;230;0.00125;0.1;0;42.49;50.99;76.48;1.00787;0;1;-30;30
228;236;0.00809;0.02681;0;138.01;165.61;207.01;0;0;1;-30;30
228;255;0.00125;0.1;0;42.49;50.99;76.48;1.00787;0;1;-30;30
228;267;0.00228;0.00982;0;100.75;120.9;151.13;0;0;1;-30;30
272;229;0.00212;0.08472;0;101.98;122.37;183.56;1.00956;0;1;-30;30
231;251;0.00329;0.01194;0;50;60;90;0;0;1;-30;30
231;269;0.00125;0.1;0;32.96;39.55;59.33;1.00706;0;1;-30;30
257;232;0.00125;0.1;0;35.08;42.09;63.14;1.00796;0;1;-30;30
265;234;0.00065;0.03424;0;261.16;313.4;470.09;1.00251;0;1;-30;30
265;234;0.00067;0.0336;0;266.13;319.36;479.04;1.00251;0;1;-30;30
234;277;0.00344;0.02181;0;270.17;324.2;486.3;0;0;1;-30;30
234;1740;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
235;242;0.06734;0.21244;0;70.69;84.83;106.03;0;0;1;-30;30
235;271;0.01523;0.04126;0;26.79;32.15;48.23;0;0;1;-30;30
236;259;0.00363;0.012;0;88.75;106.5;133.13;0;0;1;-30;30
268;237;0.00071;0.02832;0;199.57;239.49;359.23;1.01;0;1;-30;30
253;238;0.00125;0.1;0;35.61;42.73;64.09;1.00802;0;1;-30;30
245;239;0.00053;0.02122;0;517.6;621.12;931.68;1.01;0;1;-30;30
240;254;0.00135;0.0044;0;96.41;115.69;144.62;0;0;1;-30;30
240;259;0.00681;0.02827;0;70.14;84.17;105.21;0;0;1;-30;30
241;247;0.00279;0.0084;0;50;60;90;0;0;1;-30;30
242;249;0.03964;0.11539;0;42.27;50.72;63.4;0;0;1;-30;30
242;2296;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
243;274;0.02053;0.0517;0;68.99;82.79;103.49;0;0;1;-30;30
244;265;0.00248;0.02649;0;479.26;575.11;718.88;0;0;1;-30;30
244;995;0.0001;0.01;0;259.19;311.03;388.78;0;0;1;-30;30
245;270;0.00053;0.02122;0;516.75;620.1;930.14;1.01;0;1;-30;30
246;264;0.00353;0.03885;0;431.49;517.79;647.24;0;0;1;-30;30
246;2335;0.0001;0.01;0;189.71;227.65;284.56;0;0;1;-30;30
247;767;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
248;265;0.00364;0.02923;0;438.68;526.42;789.62;0;0;1;-30;30
250;252;0.00667;0.02883;0;69.56;83.48;104.35;0;0;1;-30;30
250;259;0;0.00074;0;77.97;93.57;116.96;0;0;1;-30;30
251;274;0.02068;0.07926;0;42.02;50.42;63.02;0;0;1;-30;30
252;263;0.00121;0.00499;0;95.93;115.11;143.89;0;0;1;-30;30
253;257;0;0.00081;0;137.21;164.66;205.82;0;0;1;-30;30
253;273;0.00125;0.1;0;36.11;43.33;65;1.00802;0;1;-30;30
253;276;0.00358;0.00456;0;117.62;141.14;176.43;0;0;1;-30;30
272;256;0.00212;0.08472;0;101.98;122.37;183.56;1.00956;0;1;-30;30
257;258;0.00125;0.1;0;35.57;42.69;64.03;1.00796;0;1;-30;30
257;267;0.00351;0.00466;0;108.72;130.46;163.08;0;0;1;-30;30
268;260;0.0007;0.03234;0;241.96;290.35;435.53;1.00251;0;1;-30;30
260;277;0.00888;0.06102;0;108.12;129.74;162.18;0;0;1;-30;30
260;986;0.0001;0.01;0;83.7;98.6;125.55;0;0;1;-30;30
272;261;0.00212;0.08472;0;101.98;122.37;183.56;1.00956;0;1;-30;30
262;265;0.00096;0.01102;0;219.98;263.98;395.97;0;0;1;-30;30
262;268;0.00158;0.01426;0;175.73;210.88;316.32;0;0;1;-30;30
262;274;0.00165;0.0937;0;257.69;309.23;386.54;1.01;0;1;-30;30
263;274;0.00515;0.02283;0;94.48;113.38;170.07;0;0;1;-30;30
264;265;0.00384;0.04229;0;82.66;99.19;148.79;0;0;1;-30;30
264;445;0.0001;0.01;0;313.3;375.96;469.95;0;0;1;-30;30
266;2339;0.0001;0.01;0;144.1;172.92;216.15;0;0;1;-30;30
